institution.displayName,institution.state,institution.city,institution.zip,institution.institutionalControl,ranking.displayRank,searchData.acceptanceRate.rawValue,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.enrollment.rawValue,searchData.testAvgs.displayValue.0.value,searchData.testAvgs.displayValue.1.value
Coker University,SC,Hartsville,29550,private,#67,98,31764,,1171,940-1160,16-24
Colby College,ME,Waterville,04901,private,#25,8,66600,,2299,1430-1540,32-34
Colby-Sawyer College,NH,New London,03257,private,#12,78,18400,3.4,864,960-1170,22-27
Colegio Universitario de San Juan,PR,San Juan,,public,#91-99,77,2340,,675,N/A,N/A
Colgate University,NY,Hamilton,13346,private,#21,12,67024,3.9,3130,1410-1530,32-34
College for Creative Studies,MI,Detroit,48202,private,Unranked,49,49435,3.4,1451,N/A,N/A
College of Biblical Studies--Houston,TX,Houston,,private,Unranked,,7475,,418,N/A,N/A
College of Central Florida,FL,Ocala,34474,public,Unranked,41,10632,,5492,N/A,N/A
College of Charleston,SC,Charleston,29424,public,#9,76,36858,,9972,1130-1300,24-30
College of Coastal Georgia,GA,Brunswick,31520,public,#68,98,12756,3.2,3147,900-1140,15-22
College of Idaho,ID,Caldwell,83605,private,#7,46,36205,,1054,1070-1240,23-29
College of Menominee Nation,WI,Keshena,,private,Unranked,,6200,,191,N/A,N/A
College of Mount St. Vincent,NY,Bronx,10471,private,#9,91,42740,3.3,2259,968-1206,22-23
The College of New Jersey,NJ,Ewing,08628,public,#4,64,30774,,7039,1140-1350,24-30
College of Saint Mary,NE,Omaha,68106,private,#76,76,23340,3.4,540,1010-1200,18-24
The College of Saint Rose,NY,Albany,12203,private,#119,76,37452,,1798,N/A,N/A
College of Southern Nevada,NV,Las Vegas,89146,public,Unranked,,11869,,29942,N/A,N/A
College of St. Benedict,MN,St. Joseph,56321,private,#73,88,53884,3.7,1443,1055-1245,20-27
The College of St. Scholastica,MN,Duluth,55811,private,#216,83,40454,3.5,1938,1088-1180,22-27
College of the Atlantic,ME,Bar Harbor,04609,private,#156,60,46179,3.8,377,1230-1460,27-32
College of the Holy Cross,MA,Worcester,01610,private,#27,36,60850,,3233,1260-1430,28-32
College of the Ozarks,MO,Point Lookout,65726,private,#3,21,20990,3.6,1487,1065-1235,20-25
The College of Westchester,NY,White Plains,10606,proprietary,#33,98,23598,,873,N/A,N/A
The College of Wooster,OH,Wooster,44691,private,#75,56,59550,3.7,1967,1250-1450,27-32
Colorado Christian University,CO,Lakewood,80226,private,#51,,39266,,7602,1130-1370,23-30
Colorado College,CO,Colorado Springs,80903,private,#33,14,65028,,2241,N/A,N/A
Colorado Mesa University,CO,Grand Junction,81501,public,#20,64,26034,3.3,8681,930-1180,18-25
Colorado Mountain College,CO,Glenwood Springs,81601,public,#43,,11820,,5184,N/A,N/A
Colorado School of Mines,CO,Golden,80401,public,#76,58,42120,3.9,5733,1330-1490,30-33
Colorado State University,CO,Fort Collins,80523,public,#151,91,33752,3.7,26062,1070-1290,23-29
Colorado State University--Pueblo,CO,Pueblo,81001,public,#82,99,21479,3.3,4772,900-1150,17-25
Colorado Technical University,CO,Colorado Springs,80907,proprietary,#395-435,,12696,,21161,N/A,N/A
Columbia Basin College,WA,Pasco,99301,public,Unranked,,7738,,6089,N/A,N/A
Columbia Central University--Caguas,PR,Caguas,,proprietary,Unranked,,7830,,2217,N/A,N/A
Columbia College Chicago,IL,Chicago,60605,private,#124,95,32214,3.4,6424,N/A,N/A
Columbia College Hollywood,CA,Tarzana,,private,Unranked,,26175,,493,N/A,N/A
Columbia College (MO),MO,Columbia,65216,private,#149-164,,24326,,6351,N/A,N/A
Columbia College (SC),SC,Columbia,29203,private,#33,98,21450,2.9,1173,850-1140,14-18
Columbia International University,SC,Columbia,29203,private,#45,48,27900,,1001,990-1195,16-25
Columbia University,NY,New York,10027,private,#12,4,65524,,8832,1470-1570,34-35
Columbus College of Art and Design,OH,Columbus,43215,private,Unranked,94,38150,,976,N/A,N/A
Columbus State University,GA,Columbus,31907,public,#64,99,20662,3.3,6022,820-1060,16-23
Commonwealth University of Pennsylvania,PA,,,public,Unranked,,18919,,0,N/A,N/A
Community College of Denver,CO,Denver,80204,public,Unranked,,16235,,7091,N/A,N/A
Conception Seminary College,MO,Conception,64433,private,Unranked,100,24248,,27,N/A,N/A
Concordia College--Moorhead,MN,Moorhead,56562,private,#146,66,28916,3.6,1827,1410-1410,21-28
Concordia University Ann Arbor,MI,Ann Arbor,48105,private,Unranked,63,34250,,968,N/A,N/A
Concordia University Chicago,IL,River Forest,60305,private,#101,93,36258,3.2,1293,N/A,N/A
Concordia University -- Irvine,CA,Irvine,92612,private,#345,69,41390,3.6,1699,1030-1260,21-29
Concordia University (NE),NE,Seward,68434,private,#76,91,39330,3.6,2675,1000-1250,19-25
"Concordia University, St. Paul",MN,St. Paul,55104,private,#92,69,25000,3.2,3035,N/A,22-28
Concordia University Texas,TX,Austin,78726,private,#79,89,35620,,1708,885-1150,15-25
Concordia University Wisconsin,WI,Mequon,53097,private,#304,70,34250,,2817,N/A,20-27
Concord University,WV,Athens,24712,public,#86,91,20600,3.4,1399,890-1140,18-23
Connecticut College,CT,New London,06320,private,#46,40,64812,3.8,1948,1360-1490,30-33
Converse University,SC,Spartanburg,29302,private,#23,82,23096,,804,N/A,N/A
Cooper Union for the Advancement of Science and Art,NY,New York,10003,private,#2,22,46820,3.7,899,1380-1530,32-35
Coppin State University,MD,Baltimore,21216,public,#151-167,45,13789,,1757,860-1040,13-21
Corban University,OR,Salem,97301,private,#71,38,35767,,886,1003-1165,21-26
Cornell College,IA,Mount Vernon,52314,private,#116,79,50634,3.6,1060,1170-1380,23-30
Cornell University,NY,Ithaca,14853,private,#12,7,66014,,15735,1470-1570,33-35
Cornerstone University,MI,Grand Rapids,49525,private,#60,82,29100,3.6,1433,980-1230,21-27
Cornish College of the Arts,WA,Seattle,98121,private,Unranked,64,36844,,455,N/A,N/A
Cottey College,MO,Nevada,64772,private,#6,80,24960,3.5,311,N/A,1-24
Covenant College,GA,Lookout Mountain,30750,private,#135,84,40414,3.8,846,1140-1380,24-32
Cox College,MO,Springfield,65802,private,Unranked,39,13396,,749,N/A,N/A
Creighton University,NE,Omaha,68178,private,#124,76,47000,3.9,4290,1208-1420,24-31
Criswell College,TX,Dallas,75246,private,#4,100,13350,,122,1090-1150,N/A
Crowley's Ridge College,AR,Paragould,72450,private,#47,,15000,,197,N/A,N/A
Crown College,MN,St. Bonifacius,55375,private,#137,65,30200,,1139,N/A,N/A
Culinary Institute of America,NY,Hyde Park,12538,private,Unranked,98,36620,3.3,3005,N/A,N/A
Culver-Stockton College,MO,Canton,63435,private,#36,97,29915,3.4,900,850-1110,18-21
Cumberland University,TN,Lebanon,37087,private,#85,64,27840,3.3,2311,920-1160,17-23
CUNY--Baruch College,NY,New York,10010,public,#9,50,19131,3.6,15896,962-1418,N/A
CUNY--Brooklyn College,NY,Brooklyn,11210,public,#38,55,19110,3.4,11661,N/A,N/A
CUNY--City College,NY,New York,10031,public,#105,62,19010,3.4,11929,N/A,N/A
CUNY--College of Staten Island,NY,Staten Island,10314,public,#104,93,26209,3.1,9290,N/A,N/A
CUNY--Hunter College,NY,New York,10021,public,#21,48,19050,3.7,17256,N/A,N/A
CUNY--John Jay College of Criminal Justice,NY,New York,10019,public,#17,51,19140,3,12019,N/A,N/A
CUNY--Lehman College,NY,Bronx,10468,public,#27,42,15360,,12459,N/A,N/A
CUNY--New York City College of Technology,NY,Brooklyn,11201,public,#22,82,15270,,13087,N/A,N/A
CUNY--Queens College,NY,Queens,11367,public,#45,69,19208,3.4,14406,N/A,N/A
Curry College,MA,Milton,02186,private,#137,88,45820,3,1835,1083-1165,N/A
Curtis Institute of Music,PA,Philadelphia,19103,private,Unranked,5,5930,,109,N/A,N/A
Cypress College,CA,Cypress,90630,public,Unranked,,9090,,13406,N/A,N/A
Daemen University,NY,Amherst,14226,private,#345,73,33724,3.6,1782,1123-1205,N/A
Dakota State University,SD,Madison,57042,public,#95,80,12734,3.3,2757,940-1240,19-27
Dakota Wesleyan University,SD,Mitchell,57301,private,#23,75,32890,3.4,723,950-1420,18-24
Dallas Baptist University,TX,Dallas,75211,private,#376,91,38140,3.5,2968,970-1200,19-25
Dalton State College,GA,Dalton,30720,public,#41,,10189,,4525,N/A,N/A
Dartmouth College,NH,Hanover,03755,private,#18,6,65511,,4458,1500-1580,33-35
Davenport University,MI,Grand Rapids,49512,private,#133,99,22244,,4352,N/A,N/A
Davidson College,NC,Davidson,28035,private,#16,17,60050,3.8,1927,1350-1500,31-33
Davis and Elkins College,WV,Elkins,26241,private,#23,78,30680,,661,N/A,N/A
Davis College,NY,Bible School Park,13737,private,Unranked,100,17200,,147,N/A,N/A
Daytona State College,FL,Daytona Beach,32114,public,Unranked,,11994,,11613,N/A,N/A
Dean College,MA,Franklin,02038,private,#29,75,43400,3.1,1189,N/A,N/A
Defiance College,OH,Defiance,43512,private,#50,63,38778,,479,810-1000,16-22
Delaware State University,DE,Dover,19901,public,#111,55,18280,3.2,4996,830-1050,20-24
Delaware Technical Community College--Terry,DE,Dover,19901,public,Unranked,,11808,,12402,N/A,N/A
Delaware Valley University,PA,Doylestown,18901,private,#143,95,43300,,1777,1060-1230,27-29
Delta State University,MS,Cleveland,38733,public,#55,99,8605,3.5,1889,940-1280,17-24
Denison University,OH,Granville,43023,private,#39,22,64000,,2330,1270-1460,29-32
Denver College of Nursing,CO,Denver,,proprietary,Unranked,,12414,,1046,N/A,N/A
DePaul University,IL,Chicago,60604,private,#151,70,44460,3.8,14134,1070-1300,24-30
DePauw University,IN,Greencastle,46135,private,#46,66,57070,3.9,1752,1140-1360,24-31
DEREE--The American College of Greece,,Athens,,private,Unranked,83,,,3982,N/A,N/A
DeSales University,PA,Center Valley,18034,private,#280,77,44800,3.4,2231,1100-1280,23-29
Design Institute of San Diego,CA,San Diego,,proprietary,Unranked,100,27875,,119,N/A,N/A
DeVry University,IL,Lisle,60532,proprietary,#149-164,46,17488,,19866,N/A,N/A
Dharma Realm Buddhist University,CA,Ukiah,95482,private,Unranked,55,21000,3.4,14,N/A,N/A
Dickinson College,PA,Carlisle,17013,private,#46,35,63450,,2125,1260-1426,29-32
Dickinson State University,ND,Dickinson,58601,public,#49,72,11218,3.2,1411,875-1130,16-21
DigiPen Institute of Technology,WA,Redmond,98052,proprietary,Unranked,46,35900,,1138,N/A,N/A
Dillard University,LA,New Orleans,70122,private,#159,80,22594,3.4,1224,988-1176,19-25
Dine College,AZ,Tsaile,,public,Unranked,,1410,,1315,N/A,N/A
Divine Word College,IA,Epworth,52045,private,Unranked,100,14620,,67,N/A,N/A
Doane University,NE,Crete,68333,private,#84,76,40491,3.6,990,900-1135,18-24
Dominican University,IL,River Forest,60305,private,#11,90,37694,3.8,2136,890-1140,16-22
Dominican University New York,NY,Orangeburg,10962,private,#369,89,33060,3,1097,953-1178,N/A
Dominican University of California,CA,San Rafael,94901,private,#18,93,50647,3.7,1157,1088-1236,23-25
Donnelly College,KS,Kansas City,66102,private,#41,,8736,,358,N/A,N/A
Dordt University,IA,Sioux Center,51250,private,#8,71,35960,3.7,1585,1030-1260,21-28
Drake University,IA,Des Moines,50311,private,#178,67,50114,3.7,2835,1110-1340,25-30
Drew University,NJ,Madison,07940,private,#93,73,43824,3.5,1549,1120-1340,26-28
Drexel University,PA,Philadelphia,19104,private,#98,80,60663,3.8,12482,1230-1430,27-32
Drury University,MO,Springfield,65802,private,#26,63,35435,3.8,1375,1150-1360,22-28
Duke University,NC,Durham,27708,private,#7,6,66172,,6640,1490-1570,34-35
Dunwoody College of Technology,MN,Minneapolis,55403,private,#53,88,25659,2.9,1359,N/A,17-22
Duquesne University,PA,Pittsburgh,15282,private,#151,87,47146,3.9,5095,1160-1330,25-31
D'Youville University,NY,Buffalo,14201,private,#320,94,33540,3.3,1399,1030-1225,21-26
Eagle Gate College--Murray,UT,,,proprietary,Unranked,,17112,,285,N/A,N/A
Earlham College,IN,Richmond,47374,private,#100,73,51840,3.7,612,1130-1380,24-32
East Carolina University,NC,Greenville,27858,public,#195,92,23602,3.3,21688,1040-1240,18-24
East Central University,OK,Ada,74820,public,#95,70,16555,3.5,2733,881-960,17-22
Eastern Connecticut State University,CT,Willimantic,06226,public,#69,74,16624,3.4,3926,980-1190,16-28
Eastern Florida State College,FL,Cocoa,32922,public,Unranked,,9739,,12677,N/A,N/A
Eastern Illinois University,IL,Charleston,61920,public,#60,68,15528,3.4,6916,900-1120,17-23
Eastern International College--Jersey City,NJ,Jersey City,,proprietary,Unranked,,18046,,369,N/A,N/A
Eastern Kentucky University,KY,Richmond,40475,public,#352,98,20222,3.3,12072,940-1185,17-24
Eastern Mennonite University,VA,Harrisonburg,22802,private,#47,95,40990,,958,1040-1590,25-34
Eastern Michigan University,MI,Ypsilanti,48197,public,#376,83,15170,3.3,11617,930-1180,18-25
Eastern Nazarene College,MA,Quincy,02170,private,#151-167,64,27990,,492,960-1315,18-26
Eastern New Mexico University,NM,Portales,88130,public,#91,33,8843,,3756,860-1100,16-22
Eastern Oregon University,OR,La Grande,97850,public,#84,99,23516,3.4,2415,N/A,N/A
Eastern University,PA,St. Davids,19087,private,#141,97,37420,3.2,1848,N/A,N/A
Eastern Washington University,WA,Cheney,99004,public,#49,97,27299,,8217,N/A,N/A
East Georgia State College,GA,Swainsboro,30401,public,Unranked,,9088,,2008,N/A,N/A
East Stroudsburg University,PA,East Stroudsburg,18301,public,#135,87,18346,3.2,4401,930-1160,16-23
East Tennessee State University,TN,Johnson City,37614,public,#320,85,13484,3.5,10553,980-1190,19-26
East Texas Baptist University,TX,Marshall,75670,private,#84,68,29900,3.5,1579,960-1170,18-25
East-West University,IL,Chicago,60605,private,#186-204,,23400,,487,N/A,N/A
Eckerd College,FL,St. Petersburg,33711,private,#130,65,50374,,1993,1107-1300,23-29
ECPI University,VA,Virginia Beach,23462,proprietary,#110,83,17479,,11399,N/A,N/A
Edgewood College,WI,Madison,53711,private,#296,95,33550,,1233,N/A,N/A
Edmonds Community College,WA,Lynnwood,98036,public,Unranked,,10104,,5606,N/A,N/A
EDP University of Puerto Rico Inc--San Juan,PR,San Juan,00919,private,#29,43,6900,,1246,N/A,N/A
Edward Waters University,FL,Jacksonville,32209,private,#66,80,14878,,2840,N/A,N/A
Elizabeth City State University,NC,Elizabeth City,27909,public,#28,74,10956,3,2033,840-1080,14-23
Elizabethtown College,PA,Elizabethtown,17022,private,#39,81,36842,3.7,1737,1070-1280,25-30
Elmhurst University,IL,Elmhurst,60126,private,#6,76,41628,3.6,3027,980-1240,20-27
Elmira College,NY,Elmira,14901,private,#7,82,39712,3.3,609,1118-1272,20-30
Elms College,MA,Chicopee,01013,private,#60,91,42060,3.4,980,1070-1300,N/A
Elon University,NC,Elon,27244,private,#133,74,44536,3.9,6337,1170-1360,25-30
Embry-Riddle Aeronautical University -- Daytona Beach,FL,Daytona Beach,32114,private,#6,65,42304,,7177,1140-1340,23-29
Embry-Riddle Aeronautical University--Prescott,AZ,Prescott,86301,private,#1,68,42204,,3120,1170-1380,24-31
Embry-Riddle Aeronautical University--Worldwide,FL,Daytona Beach,,private,#123-135,70,11185,,9394,N/A,N/A
Emerson College,MA,Boston,02116,private,#13,43,55392,3.7,4149,1250-1430,30-32
Emmanuel College,MA,Boston,02115,private,#152,80,46686,,1947,1160-1310,25-30
Emmanuel University,GA,Franklin Springs,30639,private,#52,63,23534,3.5,840,950-1020,N/A
Emmaus Bible College,IA,Dubuque,52001,private,#41,99,19800,,193,1100-1240,18-26
Emory & Henry College,VA,Emory,24327,private,#21,97,35155,3.6,1082,N/A,N/A
Emory University,GA,Atlanta,30322,private,#24,11,60774,3.8,7101,1430-1550,32-34
Emporia State University,KS,Emporia,66801,public,#83,96,15659,3.5,2740,N/A,18-24
Endicott College,MA,Beverly,01915,private,#39,73,39212,3.6,3411,1130-1280,24-29
Erskine College,SC,Due West,29639,private,#43,69,36710,3.3,817,920-1150,17-23
Escuela de Artes Plasticas de Puerto Rico,PR,San Juan,00902,public,Unranked,99,7304,,485,N/A,N/A
Eureka College,IL,Eureka,61530,private,#41,87,28110,3.2,559,870-1155,16-23
Evangel University,MO,Springfield,65802,private,#108,49,27192,3.6,1258,990-1370,19-25
Everglades University,FL,Boca Raton,33431,private,#97,70,20000,,2246,N/A,N/A
The Evergreen State College,WA,Olympia,98505,public,#69,96,30973,3.3,1871,980-1220,22-29
Fairfield University,CT,Fairfield,06824,private,#124,52,56360,3.8,4757,1240-1370,28-31
Fairleigh Dickinson University,NJ,Teaneck,07666,private,#45,87,38770,3.2,7432,980-1280,20-27
Fairmont State University,WV,Fairmont,26554,public,#98,98,18022,3.4,2790,820-1050,18-23
Faith Baptist Bible College and Theological Seminary,IA,Ankeny,50023,private,#44,56,18740,,384,1020-1180,20-27
Farmingdale State College--SUNY,NY,Farmingdale,11735,public,#16,73,18486,3.3,9264,1000-1175,19-24
Fashion Institute of Design & Merchandising,CA,Los Angeles,90015,proprietary,#6,42,32645,,1761,N/A,N/A
Fashion Institute of Technology,NY,New York,10001,public,Unranked,53,16750,3.7,7872,N/A,N/A
Faulkner University,AL,Montgomery,36109,private,#123-135,14,23920,3.4,1792,950-1130,17-24
Fayetteville State University,NC,Fayetteville,28301,public,#69,81,6262,3.3,5748,870-1060,14-19
Feather River Community College District,CA,Quincy,95971,public,Unranked,,9531,,1354,N/A,N/A
Felician University,NJ,Lodi,07644,private,#123,89,37830,3.2,1803,893-1108,18-25
Ferris State University,MI,Big Rapids,49307,public,#304,88,14686,3.3,9000,910-1150,18-23
Ferrum College,VA,Ferrum,24088,private,#52,76,37280,,863,920-1180,18-24
Fisher College,MA,Boston,02116,private,#40,72,34150,2.7,1253,800-1070,15-24
Fisk University,TN,Nashville,37208,private,#146,71,23578,,1009,1090-1450,19-25
Fitchburg State University,MA,Fitchburg,01420,public,#69,86,17001,3.3,3168,1020-1220,22-31
Five Towns College,NY,Dix Hills,11746,proprietary,Unranked,58,29200,2.8,496,N/A,N/A
Flagler College,FL,St. Augustine,32084,private,#3,81,26610,3.6,2607,1050-1230,22-29
Florida A&M University,FL,Tallahassee,32307,public,#170,33,17725,3.7,7709,1040-1170,20-24
Florida A&M University -- Florida State University College of Engineering,FL,,,public,Unranked,,,,0,N/A,N/A
Florida Atlantic University,FL,Boca Raton,33431,public,#209,81,21655,3.8,24229,1020-1200,20-25
Florida College,FL,Temple Terrace,33617,private,#61,58,18060,,606,930-1200,19-27
Florida Gateway College,FL,Lake City,32025,public,Unranked,,11747,,2792,N/A,N/A
Florida Gulf Coast University,FL,Fort Myers,33965,public,#304,74,25161,,14137,1040-1200,20-25
Florida Institute of Technology,FL,Melbourne,32901,private,#269,64,44360,3.5,3374,1120-1320,22-28
Florida International University,FL,Miami,33199,public,#124,64,18964,3.9,45442,1060-1250,21-26
Florida Keys Community College,FL,Key West,33040,public,Unranked,,13162,,865,N/A,N/A
Florida Memorial University,FL,Miami,33054,private,#43,57,16836,,992,N/A,N/A
Florida National University,FL,Hialeah,33012,proprietary,#69,99,16088,,2465,N/A,N/A
Florida Polytechnic University,FL,Lakeland,33805,public,#2,47,21005,3.5,1531,1233-1390,26-31
Florida Southern College,FL,Lakeland,33801,private,#11,57,42360,3.8,2738,1160-1330,25-30
Florida SouthWestern State College,FL,Fort Myers,33919,public,Unranked,85,9750,3.1,14337,N/A,N/A
Florida State College--Jacksonville,FL,Jacksonville,32202,public,Unranked,,9992,,20717,N/A,N/A
Florida State University,FL,Tallahassee,32306,public,#53,25,21683,3.7,32936,1210-1370,26-31
Fontbonne University,MO,St. Louis,63105,private,#74,94,28976,3.3,682,N/A,18-25
Foothill College,CA,Los Altos Hills,94022,public,Unranked,,11510,,12438,N/A,N/A
Fordham University,NY,New York,10023,private,#89,54,61567,3.7,10098,1320-1480,30-33
Fort Hays State University,KS,Hays,67601,public,#109,90,15870,,11402,N/A,N/A
Fort Lewis College,CO,Durango,81301,public,#23,91,19724,3.3,3268,1000-1220,16-23
Fort Valley State University,GA,Fort Valley,31030,public,#69,43,20190,3.3,2354,810-950,16-20
Framingham State University,MA,Framingham,01701,public,#80,87,17460,3.1,2970,1010-1200,27-31
Franciscan Missionaries of Our Lady University,LA,Baton Rouge,70808,private,Unranked,55,15012,,962,N/A,N/A
Franciscan University of Steubenville,OH,Steubenville,43952,private,#26,67,32630,3.9,2785,1100-1320,22-28
Francis Marion University,SC,Florence,29502,public,#55,83,21544,,3635,890-1123,15-22
Franklin College,IN,Franklin,46131,private,#139,93,37350,3.5,894,970-1170,18-25
Franklin & Marshall College,PA,Lancaster,17604,private,#35,36,68380,,1990,1300-1440,30-32
Franklin Pierce University,NH,Rindge,03461,private,#141,89,43155,,1279,N/A,N/A
Franklin University,OH,Columbus,43215,private,#149-164,,9577,,4740,N/A,N/A
Franklin University Switzerland,,6924 Sorengo (Lugano,,private,Unranked,,,,0,N/A,N/A
Franklin W. Olin College of Engineering,MA,Needham,02492,private,Unranked,19,61802,3.9,386,N/A,N/A
Freed-Hardeman University,TN,Henderson,38340,private,#36,91,24300,3.7,1850,1040-1240,19-26
Fresno Pacific University,CA,Fresno,93727,private,#41,75,35558,3.7,1744,1000-1220,25
Friends University,KS,Wichita,67213,private,#124,56,32748,3.4,1279,985-1165,18-24
Frostburg State University,MD,Frostburg,21532,public,#111,88,25180,,3264,970-1160,18-25
Furman University,SC,Greenville,29613,private,#46,67,58312,3.7,2283,1260-1455,28-33
Galen College of Nursing--Louisville,KY,Louisville,,proprietary,Unranked,,42420,,3992,N/A,N/A
Gallaudet University,DC,Washington,20002,private,#236,59,18254,3.8,914,753-1091,14-20
Gannon University,PA,Erie,16541,private,#260,81,36676,3.6,2991,1030-1263,21-27
Gardner-Webb University,NC,Boiling Springs,28017,private,#356,79,33230,,1983,960-1215,18-24
Geneva College,PA,Beaver Falls,15010,private,#83,79,30990,,1180,N/A,N/A
George Fox University,OR,Newberg,97132,private,#269,92,40940,3.7,2534,1020-1290,22-28
George Mason University,VA,Fairfax,22030,public,#105,90,37976,3.7,27014,1140-1350,25-31
Georgetown College,KY,Georgetown,40324,private,#186-204,72,42010,3.6,1233,1030-1230,18-24
Georgetown University,DC,Washington,20057,private,#22,12,65082,,7900,1390-1560,32-35
George Washington University,DC,Washington,20052,private,#67,49,64990,,11482,1330-1490,31-34
Georgia College & State University,GA,Milledgeville,31061,public,#16,80,28178,3.5,5265,1060-1230,21-26
Georgia Gwinnett College,GA,Lawrenceville,30043,public,#47,94,16244,3,11030,900-1120,15-20
Georgia Highlands College,GA,Rome,30161,public,Unranked,,9696,,5240,N/A,N/A
Georgia Institute of Technology,GA,Atlanta,30332,public,#33,17,32876,,18415,1370-1550,31-35
Georgia Military College,GA,Milledgeville,31061,public,Unranked,,7043,,7014,N/A,N/A
Georgian Court University,NJ,Lakewood,08701,private,#111,76,37110,3.6,1471,1043-1251,20-24
Georgia Southern University,GA,Statesboro,30460,public,#352,89,20816,3.4,22003,950-1150,18-23
Georgia Southwestern State University,GA,Americus,31709,public,#103,86,19434,,2466,990-1170,19-23
Georgia State University,GA,Atlanta,30302,public,#227,61,29306,3.6,28927,940-1190,19-26
Gettysburg College,PA,Gettysburg,17325,private,#63,56,64230,,2241,1350-1440,28-32
Glenville State University,WV,Glenville,26351,public,#52,,11140,,1557,N/A,N/A
Goddard College,VT,Plainfield,05667,private,Unranked,100,18477,,146,N/A,N/A
God's Bible School and College,OH,Cincinnati,45210,private,#57,65,7046,,336,N/A,N/A
Goldey-Beacom College,DE,Wilmington,19808,private,#123,91,13050,3.3,620,920-1120,21-22
Goldfarb School of Nursing at Barnes-Jewish College,MO,Saint Louis,63110,private,Unranked,,21515,,566,N/A,N/A
Gonzaga University,WA,Spokane,99258,private,#93,70,53500,3.7,5084,1210-1410,26-31
Good Samaritan College of Nursing and Health Science,OH,Cincinnati,,private,Unranked,89,15470,,305,N/A,N/A
Goodwin University,CT,East Hartford,,private,#41-44,,21198,,3156,N/A,N/A
Gordon College,MA,Wenham,01984,private,#163,92,28100,3.7,1294,1070-1305,23-32
Gordon State College,GA,Barnesville,30204,public,#91-99,88,10381,,3101,900-1080,16-23
Goshen College,IN,Goshen,46526,private,#12,94,37760,3.5,717,990-1220,22-29
Goucher College,MD,Baltimore,21204,private,#124,81,51250,3.3,1002,1110-1370,24-33
Governors State University,IL,University Park,60484,public,#149-164,57,23536,3.9,2609,830-1060,16-22
Grace Christian University,MI,Grand Rapids,49509,private,#55,100,22350,,969,N/A,N/A
Grace College and Seminary,IN,Winona Lake,46590,private,#55,83,29048,,1598,990-1220,19-27
Graceland University,IA,Lamoni,50140,private,#121,74,33220,3.3,890,830-1085,16-23
Grambling State University,LA,Grambling,71245,public,#100,72,16706,,4405,822-1040,15-19
Grand Canyon University,AZ,Phoenix,85017,proprietary,#395-435,83,17800,,65870,N/A,N/A
Grand Valley State University,MI,Allendale,49401,public,#235,92,20820,,19379,N/A,N/A
Grand View University,IA,Des Moines,50316,private,#92,100,33450,,1561,920-1080,17-22
Grays Harbor College,WA,Aberdeen,98520,public,Unranked,,10284,,1469,N/A,N/A
Grayson College,TX,,,public,Unranked,,5692,,4410,N/A,N/A
Great Basin College,NV,Elko,89801,public,#45-48,,13037,,3414,N/A,N/A
Great Lakes Christian College,MI,Lansing,48917,private,#68-74,,17220,,165,N/A,N/A
Green River College,WA,Auburn,98092,public,Unranked,,4916,,6559,N/A,N/A
Greensboro College,NC,Greensboro,27401,private,#103,84,20400,3.4,730,N/A,N/A
Greenville University,IL,Greenville,62246,private,#112,94,30598,3.2,948,850-1100,16-25
Grinnell College,IA,Grinnell,50112,private,#11,11,64862,,1759,1380-1530,31-34
Grove City College,PA,Grove City,16127,private,#4,71,20890,3.7,2289,1130-1360,25-32
Guilford College,NC,Greensboro,27410,private,#167,82,41140,,1192,950-1200,17-23
Gulf Coast State College,FL,Panama City,32401,public,Unranked,,8635,,4377,N/A,N/A
Gustavus Adolphus College,MN,St. Peter,56082,private,#67,74,54310,3.6,2088,N/A,25-31
Gwynedd Mercy University,PA,Gwynedd Valley,19437,private,#260,90,38310,3.4,1412,1015-1235,25-28
Hamilton College,NY,Clinton,13323,private,#16,12,65740,,2075,1420-1540,33-34
Hamline University,MN,St. Paul,55104,private,#10,81,49031,,1782,1010-1273,19-26
Hampden-Sydney College,VA,Hampden-Sydney,23943,private,#116,40,52388,3.4,835,1040-1310,23-29
Hampshire College,MA,Amherst,01002,private,#139,69,56990,3.3,508,N/A,N/A
Hampton University,VA,Hampton,23668,private,#280,45,29312,3.3,2794,840-1220,17-27
Hannibal-LaGrange University,MO,Hannibal,63401,private,#53,65,25600,,658,1070-1317,19-24
Hanover College,IN,Hanover,47243,private,#112,74,41441,3.8,951,1090-1270,24-29
Harding University,AR,Searcy,72149,private,#304,45,24888,3.7,3523,1040-1300,20-28
Hardin-Simmons University,TX,Abilene,79698,private,#395-435,87,31686,3.6,1347,1010-1198,18-24
Harrisburg University of Science and Technology,PA,Harrisburg,17101,private,#151-167,84,23900,3.3,649,N/A,N/A
Harris-Stowe State University,MO,St. Louis,63103,public,#68-74,17,10690,3,1084,N/A,N/A
Hartwick College,NY,Oneonta,13820,private,#121,60,52849,3.5,1099,1020-1210,19-27
Harvard University,MA,Cambridge,02138,private,#3,3,59076,3.9,7240,1490-1580,34-36
Harvey Mudd College,CA,Claremont,91711,private,#16,13,66255,,906,1480-1560,34-36
Haskell Indian Nations University,KS,Lawrence,66046,public,Unranked,94,480,,701,N/A,N/A
Hastings College,NE,Hastings,68901,private,#20,71,36130,,924,N/A,N/A
Haverford College,PA,Haverford,19041,private,#21,14,68020,,1421,1430-1540,33-35
