institution.displayName,institution.state,institution.city,institution.zip,institution.institutionalControl,ranking.displayRank,searchData.acceptanceRate.rawValue,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.enrollment.rawValue,searchData.testAvgs.displayValue.0.value,searchData.testAvgs.displayValue.1.value
Art Institute of Houston,TX,Houston,77056,proprietary,#41,,20794,,386,N/A,N/A
Asbury University,KY,Wilmore,40390,private,#24,96,33640,3.8,1404,1060-1320,20-27
Ashland University,OH,Ashland,44805,private,#35,60,28910,3.6,5109,1073-1250,20-26
Aspen University,CO,Phoenix,,proprietary,Unranked,,5355,,6385,N/A,N/A
Assumption University,MA,Worcester,01609,private,#54,82,49414,3.5,1705,N/A,N/A
Atenas College,PR,Manati,,private,Unranked,,8198,,574,N/A,N/A
Atlanta Metropolitan State College,GA,Atlanta,30310,public,Unranked,,9731,,1605,N/A,N/A
Auburn University,AL,Auburn,36849,public,#93,44,33944,,25379,1240-1390,25-31
Auburn University at Montgomery,AL,Montgomery,36124,public,#63,92,25000,3.4,3757,990-1200,18-25
Augsburg University,MN,Minneapolis,55454,private,#17,77,42064,,2358,1188-1376,17-24
Augustana College,IL,Rock Island,61201,private,#100,61,49834,3.4,2318,1020-1250,21-28
Augustana University,SD,Sioux Falls,57197,private,#17,66,39190,3.7,1831,1110-1325,21-28
Augusta University,GA,Augusta,30912,public,#332,86,22270,,5396,N/A,19-26
Aultman College of Nursing and Health Sciences,OH,Canton,,private,Unranked,32,19310,,259,N/A,N/A
Aurora University,IL,Aurora,60506,private,#303,86,27420,,4114,960-1130,19-24
Austin College,TX,Sherman,75090,private,#93,55,46025,3.6,1169,1130-1360,23-29
Austin Community College District,TX,,,public,Unranked,,10590,,35609,N/A,N/A
Austin Peay State University,TN,Clarksville,37044,public,#33,94,14305,3.3,8120,N/A,18-24
Ave Maria University,FL,Ave Maria,34142,private,#182,44,28224,,1251,N/A,N/A
Averett University,VA,Danville,24541,private,#15,76,38550,3,1122,910-1155,17-22
Avila University,MO,Kansas City,64145,private,#109,68,22390,,1024,933-1160,17-23
Azusa Pacific University,CA,Azusa,91702,private,#236,87,42330,3.8,2588,1045-1280,23-28
Babson College,MA,Babson Park,02457,private,Unranked,22,56032,,2761,N/A,N/A
Bacone College,OK,Muskogee,74403,private,#45-48,55,15060,,266,938-1033,14-17
Baker College,MI,Owosso,48867,private,#149-164,37,12710,3.2,3778,N/A,N/A
Bakersfield College,CA,Bakersfield,93305,public,Unranked,,9560,,24479,N/A,N/A
Baker University,KS,Baldwin City,66006,private,#345,92,33800,3.3,1187,1000-1200,17-23
Baldwin Wallace University,OH,Berea,44017,private,#6,77,37538,,2744,1043-1298,20-27
Ball State University,IN,Muncie,47306,public,#216,69,28766,3.6,14416,1090-1260,23-28
Baptist Bible College,MO,Springfield,65803,private,Unranked,,15690,,236,N/A,N/A
Baptist College of Florida,FL,Graceville,32440,private,#14,100,12450,,405,930-1200,17-23
