institution.displayName,institution.schoolType,institution.state,institution.city,institution.zip,ranking.displayRank,ranking.sortRank,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.enrollment.rawValue,searchData.satAvg.rawValue,searchData.testAvgs.displayValue.1.value
Embry-Riddle Aeronautical University--Prescott,regional-colleges-west,AZ,Prescott,86301,#1,1,42204,,3120,1170,24-31
Embry-Riddle Aeronautical University--Worldwide,regional-universities-south,FL,Daytona Beach,,#123-135,-1,11185,,9394,,N/A
Emerson College,regional-universities-north,MA,Boston,02116,#13,13,55392,3.7,4149,1250,30-32
Emmanuel College,national-liberal-arts-colleges,MA,Boston,02115,#152,152,46686,,1947,1160,25-30
Emmanuel University,regional-colleges-south,GA,Franklin Springs,30639,#52,52,23534,3.5,840,950,N/A
Emmaus Bible College,regional-colleges-midwest,IA,Dubuque,52001,#41,41,19800,,193,1100,18-26
Emory & Henry College,regional-universities-south,VA,Emory,24327,#21,21,35155,3.6,1082,,N/A
Emory University,national-universities,GA,Atlanta,30322,#24,24,60774,3.8,7101,1430,32-34
Emporia State University,regional-universities-midwest,KS,Emporia,66801,#83,83,15659,3.5,2740,,18-24
Endicott College,regional-universities-north,MA,Beverly,01915,#39,39,39212,3.6,3411,1130,24-29
Erskine College,regional-colleges-south,SC,Due West,29639,#43,43,36710,3.3,817,920,17-23
Escuela de Artes Plasticas de Puerto Rico,specialty-arts,PR,San Juan,00902,Unranked,-2,7304,,485,,N/A
Eureka College,regional-colleges-midwest,IL,Eureka,61530,#41,41,28110,3.2,559,870,16-23
Evangel University,regional-universities-midwest,MO,Springfield,65802,#108,108,27192,3.6,1258,990,19-25
Everglades University,regional-universities-south,FL,Boca Raton,33431,#97,97,20000,,2246,,N/A
The Evergreen State College,regional-universities-west,WA,Olympia,98505,#69,69,30973,3.3,1871,980,22-29
Fairfield University,national-universities,CT,Fairfield,06824,#124,124,56360,3.8,4757,1240,28-31
Fairleigh Dickinson University,regional-universities-north,NJ,Teaneck,07666,#45,45,38770,3.2,7432,980,20-27
Fairmont State University,regional-universities-south,WV,Fairmont,26554,#98,98,18022,3.4,2790,820,18-23
Faith Baptist Bible College and Theological Seminary,regional-colleges-midwest,IA,Ankeny,50023,#44,44,18740,,384,1020,20-27
Farmingdale State College--SUNY,regional-colleges-north,NY,Farmingdale,11735,#16,16,18486,3.3,9264,1000,19-24
Fashion Institute of Design & Merchandising,regional-colleges-west,CA,Los Angeles,90015,#6,6,32645,,1761,,N/A
Fashion Institute of Technology,regional-universities-north,NY,New York,10001,Unranked,-2,16750,3.7,7872,,N/A
Faulkner University,regional-universities-south,AL,Montgomery,36109,#123-135,-1,23920,3.4,1792,950,17-24
Fayetteville State University,regional-universities-south,NC,Fayetteville,28301,#69,69,6262,3.3,5748,870,14-19
Feather River Community College District,regional-colleges-west,CA,Quincy,95971,Unranked,-2,9531,,1354,,N/A
Felician University,regional-universities-north,NJ,Lodi,07644,#123,123,37830,3.2,1803,893,18-25
Ferris State University,national-universities,MI,Big Rapids,49307,#304,304,14686,3.3,9000,910,18-23
Ferrum College,regional-colleges-south,VA,Ferrum,24088,#52,52,37280,,863,920,18-24
Fisher College,regional-colleges-north,MA,Boston,02116,#40,40,34150,2.7,1253,800,15-24
Fisk University,national-liberal-arts-colleges,TN,Nashville,37208,#146,146,23578,,1009,1090,19-25
Fitchburg State University,regional-universities-north,MA,Fitchburg,01420,#69,69,17001,3.3,3168,1020,22-31
Five Towns College,specialty-arts,NY,Dix Hills,11746,Unranked,-2,29200,2.8,496,,N/A
Flagler College,regional-colleges-south,FL,St. Augustine,32084,#3,3,26610,3.6,2607,1050,22-29
Florida A&M University,national-universities,FL,Tallahassee,32307,#170,170,17725,3.7,7709,1040,20-24
Florida A&M University -- Florida State University College of Engineering,unranked,FL,,,Unranked,-2,,,0,,N/A
Florida Atlantic University,national-universities,FL,Boca Raton,33431,#209,209,21655,3.8,24229,1020,20-25
Florida College,regional-colleges-south,FL,Temple Terrace,33617,#61,61,18060,,606,930,19-27
Florida Gateway College,regional-colleges-south,FL,Lake City,32025,Unranked,-2,11747,,2792,,N/A
Florida Gulf Coast University,national-universities,FL,Fort Myers,33965,#304,304,25161,,14137,1040,20-25
Florida Institute of Technology,national-universities,FL,Melbourne,32901,#269,269,44360,3.5,3374,1120,22-28
Florida International University,national-universities,FL,Miami,33199,#124,124,18964,3.9,45442,1060,21-26
Florida Keys Community College,regional-colleges-south,FL,Key West,33040,Unranked,-2,13162,,865,,N/A
Florida Memorial University,regional-colleges-south,FL,Miami,33054,#43,43,16836,,992,,N/A
Florida National University,regional-universities-south,FL,Hialeah,33012,#69,69,16088,,2465,,N/A
Florida Polytechnic University,regional-colleges-south,FL,Lakeland,33805,#2,2,21005,3.5,1531,1233,26-31
Florida Southern College,regional-universities-south,FL,Lakeland,33801,#11,11,42360,3.8,2738,1160,25-30
Florida SouthWestern State College,regional-colleges-south,FL,Fort Myers,33919,Unranked,-2,9750,3.1,14337,,N/A
Florida State College--Jacksonville,regional-colleges-south,FL,Jacksonville,32202,Unranked,-2,9992,,20717,,N/A
Florida State University,national-universities,FL,Tallahassee,32306,#53,53,21683,3.7,32936,1210,26-31
Fontbonne University,regional-universities-midwest,MO,St. Louis,63105,#74,74,28976,3.3,682,,18-25
Foothill College,regional-colleges-west,CA,Los Altos Hills,94022,Unranked,-2,11510,,12438,,N/A
Fordham University,national-universities,NY,New York,10023,#89,89,61567,3.7,10098,1320,30-33
Fort Hays State University,regional-universities-midwest,KS,Hays,67601,#109,109,15870,,11402,,N/A
Fort Lewis College,regional-colleges-west,CO,Durango,81301,#23,23,19724,3.3,3268,1000,16-23
Fort Valley State University,regional-universities-south,GA,Fort Valley,31030,#69,69,20190,3.3,2354,810,16-20
Framingham State University,regional-universities-north,MA,Framingham,01701,#80,80,17460,3.1,2970,1010,27-31
Franciscan Missionaries of Our Lady University,health,LA,Baton Rouge,70808,Unranked,-2,15012,,962,,N/A
Franciscan University of Steubenville,regional-universities-midwest,OH,Steubenville,43952,#26,26,32630,3.9,2785,1100,22-28
Francis Marion University,regional-universities-south,SC,Florence,29502,#55,55,21544,,3635,890,15-22
Franklin College,national-liberal-arts-colleges,IN,Franklin,46131,#139,139,37350,3.5,894,970,18-25
Franklin & Marshall College,national-liberal-arts-colleges,PA,Lancaster,17604,#35,35,68380,,1990,1300,30-32
Franklin Pierce University,regional-universities-north,NH,Rindge,03461,#141,141,43155,,1279,,N/A
Franklin University,regional-universities-midwest,OH,Columbus,43215,#149-164,-1,9577,,4740,,N/A
Franklin University Switzerland,unranked,,6924 Sorengo (Lugano,,Unranked,-2,,,0,,N/A
Franklin W. Olin College of Engineering,specialty-engineering,MA,Needham,02492,Unranked,-2,61802,3.9,386,,N/A
Freed-Hardeman University,regional-universities-south,TN,Henderson,38340,#36,36,24300,3.7,1850,1040,19-26
Fresno Pacific University,regional-universities-west,CA,Fresno,93727,#41,41,35558,3.7,1744,1000,25
Friends University,regional-universities-midwest,KS,Wichita,67213,#124,124,32748,3.4,1279,985,18-24
