institution.displayName,institution.state,institution.city,institution.isPublic,ranking.displayRank,searchData.tuition.rawValue,searchData.acceptanceRate.rawValue,searchData.hsGpaAvg.rawValue,searchData.enrollment.rawValue,searchData.testAvgs.displayValue.0.value,searchData.testAvgs.displayValue.1.value
The College of St. Scholastica,MN,Duluth,True,#216,40454,83,3.5,1938,1088-1180,22-27
College of the Atlantic,ME,Bar Harbor,True,#156,46179,60,3.8,377,1230-1460,27-32
College of the Holy Cross,MA,Worcester,True,#27,60850,36,,3233,1260-1430,28-32
College of the Ozarks,MO,Point Lookout,True,#3,20990,21,3.6,1487,1065-1235,20-25
The College of Westchester,NY,White Plains,True,#33,23598,98,,873,N/A,N/A
The College of Wooster,OH,Wooster,True,#75,59550,56,3.7,1967,1250-1450,27-32
Colorado Christian University,CO,Lakewood,True,#51,39266,,,7602,1130-1370,23-30
Colorado College,CO,Colorado Springs,True,#33,65028,14,,2241,N/A,N/A
Colorado Mesa University,CO,Grand Junction,True,#20,26034,64,3.3,8681,930-1180,18-25
Colorado Mountain College,CO,Glenwood Springs,True,#43,11820,,,5184,N/A,N/A
Colorado School of Mines,CO,Golden,True,#76,42120,58,3.9,5733,1330-1490,30-33
Colorado State University,CO,Fort Collins,True,#151,33752,91,3.7,26062,1070-1290,23-29
Colorado State University--Pueblo,CO,Pueblo,True,#82,21479,99,3.3,4772,900-1150,17-25
Colorado Technical University,CO,Colorado Springs,True,#395-435,12696,,,21161,N/A,N/A
Columbia Basin College,WA,Pasco,True,Unranked,7738,,,6089,N/A,N/A
Columbia Central University--Caguas,PR,Caguas,True,Unranked,7830,,,2217,N/A,N/A
Columbia College Chicago,IL,Chicago,True,#124,32214,95,3.4,6424,N/A,N/A
Columbia College Hollywood,CA,Tarzana,True,Unranked,26175,,,493,N/A,N/A
Columbia College (MO),MO,Columbia,True,#149-164,24326,,,6351,N/A,N/A
Columbia College (SC),SC,Columbia,True,#33,21450,98,2.9,1173,850-1140,14-18
Columbia International University,SC,Columbia,True,#45,27900,48,,1001,990-1195,16-25
Columbia University,NY,New York,True,#12,65524,4,,8832,1470-1570,34-35
Columbus College of Art and Design,OH,Columbus,True,Unranked,38150,94,,976,N/A,N/A
Columbus State University,GA,Columbus,True,#64,20662,99,3.3,6022,820-1060,16-23
Commonwealth University of Pennsylvania,PA,,True,Unranked,18919,,,0,N/A,N/A
Community College of Denver,CO,Denver,True,Unranked,16235,,,7091,N/A,N/A
Conception Seminary College,MO,Conception,True,Unranked,24248,100,,27,N/A,N/A
Concordia College--Moorhead,MN,Moorhead,True,#146,28916,66,3.6,1827,1410-1410,21-28
Concordia University Ann Arbor,MI,Ann Arbor,True,Unranked,34250,63,,968,N/A,N/A
Concordia University Chicago,IL,River Forest,True,#101,36258,93,3.2,1293,N/A,N/A
Concordia University -- Irvine,CA,Irvine,True,#345,41390,69,3.6,1699,1030-1260,21-29
Concordia University (NE),NE,Seward,True,#76,39330,91,3.6,2675,1000-1250,19-25
"Concordia University, St. Paul",MN,St. Paul,True,#92,25000,69,3.2,3035,N/A,22-28
Concordia University Texas,TX,Austin,True,#79,35620,89,,1708,885-1150,15-25
Concordia University Wisconsin,WI,Mequon,True,#304,34250,70,,2817,N/A,20-27
Concord University,WV,Athens,True,#86,20600,91,3.4,1399,890-1140,18-23
Connecticut College,CT,New London,True,#46,64812,40,3.8,1948,1360-1490,30-33
Converse University,SC,Spartanburg,True,#23,23096,82,,804,N/A,N/A
Cooper Union for the Advancement of Science and Art,NY,New York,True,#2,46820,22,3.7,899,1380-1530,32-35
Coppin State University,MD,Baltimore,True,#151-167,13789,45,,1757,860-1040,13-21
Corban University,OR,Salem,True,#71,35767,38,,886,1003-1165,21-26
Cornell College,IA,Mount Vernon,True,#116,50634,79,3.6,1060,1170-1380,23-30
Cornell University,NY,Ithaca,True,#12,66014,7,,15735,1470-1570,33-35
Cornerstone University,MI,Grand Rapids,True,#60,29100,82,3.6,1433,980-1230,21-27
Cornish College of the Arts,WA,Seattle,True,Unranked,36844,64,,455,N/A,N/A
Cottey College,MO,Nevada,True,#6,24960,80,3.5,311,N/A,1-24
Covenant College,GA,Lookout Mountain,True,#135,40414,84,3.8,846,1140-1380,24-32
Cox College,MO,Springfield,True,Unranked,13396,39,,749,N/A,N/A
Creighton University,NE,Omaha,True,#124,47000,76,3.9,4290,1208-1420,24-31
Criswell College,TX,Dallas,True,#4,13350,100,,122,1090-1150,N/A
Crowley's Ridge College,AR,Paragould,True,#47,15000,,,197,N/A,N/A
Crown College,MN,St. Bonifacius,True,#137,30200,65,,1139,N/A,N/A
Culinary Institute of America,NY,Hyde Park,True,Unranked,36620,98,3.3,3005,N/A,N/A
Culver-Stockton College,MO,Canton,True,#36,29915,97,3.4,900,850-1110,18-21
Cumberland University,TN,Lebanon,True,#85,27840,64,3.3,2311,920-1160,17-23
CUNY--Baruch College,NY,New York,True,#9,19131,50,3.6,15896,962-1418,N/A
CUNY--Brooklyn College,NY,Brooklyn,True,#38,19110,55,3.4,11661,N/A,N/A
CUNY--City College,NY,New York,True,#105,19010,62,3.4,11929,N/A,N/A
CUNY--College of Staten Island,NY,Staten Island,True,#104,26209,93,3.1,9290,N/A,N/A
CUNY--Hunter College,NY,New York,True,#21,19050,48,3.7,17256,N/A,N/A
CUNY--John Jay College of Criminal Justice,NY,New York,True,#17,19140,51,3,12019,N/A,N/A
CUNY--Lehman College,NY,Bronx,True,#27,15360,42,,12459,N/A,N/A
CUNY--New York City College of Technology,NY,Brooklyn,True,#22,15270,82,,13087,N/A,N/A
CUNY--Queens College,NY,Queens,True,#45,19208,69,3.4,14406,N/A,N/A
Curry College,MA,Milton,True,#137,45820,88,3,1835,1083-1165,N/A
Curtis Institute of Music,PA,Philadelphia,True,Unranked,5930,5,,109,N/A,N/A
Cypress College,CA,Cypress,True,Unranked,9090,,,13406,N/A,N/A
Daemen University,NY,Amherst,True,#345,33724,73,3.6,1782,1123-1205,N/A
Dakota State University,SD,Madison,True,#95,12734,80,3.3,2757,940-1240,19-27
Dakota Wesleyan University,SD,Mitchell,True,#23,32890,75,3.4,723,950-1420,18-24
Dallas Baptist University,TX,Dallas,True,#376,38140,91,3.5,2968,970-1200,19-25
Dalton State College,GA,Dalton,True,#41,10189,,,4525,N/A,N/A
Dartmouth College,NH,Hanover,True,#18,65511,6,,4458,1500-1580,33-35
Davenport University,MI,Grand Rapids,True,#133,22244,99,,4352,N/A,N/A
Davidson College,NC,Davidson,True,#16,60050,17,3.8,1927,1350-1500,31-33
Davis and Elkins College,WV,Elkins,True,#23,30680,78,,661,N/A,N/A
Davis College,NY,Bible School Park,True,Unranked,17200,100,,147,N/A,N/A
Daytona State College,FL,Daytona Beach,True,Unranked,11994,,,11613,N/A,N/A
Dean College,MA,Franklin,True,#29,43400,75,3.1,1189,N/A,N/A
Defiance College,OH,Defiance,True,#50,38778,63,,479,810-1000,16-22
Delaware State University,DE,Dover,True,#111,18280,55,3.2,4996,830-1050,20-24
Delaware Technical Community College--Terry,DE,Dover,True,Unranked,11808,,,12402,N/A,N/A
Delaware Valley University,PA,Doylestown,True,#143,43300,95,,1777,1060-1230,27-29
Delta State University,MS,Cleveland,True,#55,8605,99,3.5,1889,940-1280,17-24
Denison University,OH,Granville,True,#39,64000,22,,2330,1270-1460,29-32
Denver College of Nursing,CO,Denver,True,Unranked,12414,,,1046,N/A,N/A
DePaul University,IL,Chicago,True,#151,44460,70,3.8,14134,1070-1300,24-30
DePauw University,IN,Greencastle,True,#46,57070,66,3.9,1752,1140-1360,24-31
DEREE--The American College of Greece,,Athens,True,Unranked,,83,,3982,N/A,N/A
DeSales University,PA,Center Valley,True,#280,44800,77,3.4,2231,1100-1280,23-29
Design Institute of San Diego,CA,San Diego,True,Unranked,27875,100,,119,N/A,N/A
DeVry University,IL,Lisle,True,#149-164,17488,46,,19866,N/A,N/A
Dharma Realm Buddhist University,CA,Ukiah,True,Unranked,21000,55,3.4,14,N/A,N/A
Dickinson College,PA,Carlisle,True,#46,63450,35,,2125,1260-1426,29-32
Dickinson State University,ND,Dickinson,True,#49,11218,72,3.2,1411,875-1130,16-21
DigiPen Institute of Technology,WA,Redmond,True,Unranked,35900,46,,1138,N/A,N/A
Dillard University,LA,New Orleans,True,#159,22594,80,3.4,1224,988-1176,19-25
Dine College,AZ,Tsaile,True,Unranked,1410,,,1315,N/A,N/A
Divine Word College,IA,Epworth,True,Unranked,14620,100,,67,N/A,N/A
Doane University,NE,Crete,True,#84,40491,76,3.6,990,900-1135,18-24
Dominican University,IL,River Forest,True,#11,37694,90,3.8,2136,890-1140,16-22
Dominican University New York,NY,Orangeburg,True,#369,33060,89,3,1097,953-1178,N/A
Dominican University of California,CA,San Rafael,True,#18,50647,93,3.7,1157,1088-1236,23-25
Donnelly College,KS,Kansas City,True,#41,8736,,,358,N/A,N/A
Dordt University,IA,Sioux Center,True,#8,35960,71,3.7,1585,1030-1260,21-28
Drake University,IA,Des Moines,True,#178,50114,67,3.7,2835,1110-1340,25-30
Drew University,NJ,Madison,True,#93,43824,73,3.5,1549,1120-1340,26-28
Drexel University,PA,Philadelphia,True,#98,60663,80,3.8,12482,1230-1430,27-32
Drury University,MO,Springfield,True,#26,35435,63,3.8,1375,1150-1360,22-28
Duke University,NC,Durham,True,#7,66172,6,,6640,1490-1570,34-35
Dunwoody College of Technology,MN,Minneapolis,True,#53,25659,88,2.9,1359,N/A,17-22
Duquesne University,PA,Pittsburgh,True,#151,47146,87,3.9,5095,1160-1330,25-31
D'Youville University,NY,Buffalo,True,#320,33540,94,3.3,1399,1030-1225,21-26
Eagle Gate College--Murray,UT,,True,Unranked,17112,,,285,N/A,N/A
Earlham College,IN,Richmond,True,#100,51840,73,3.7,612,1130-1380,24-32
East Carolina University,NC,Greenville,True,#195,23602,92,3.3,21688,1040-1240,18-24
East Central University,OK,Ada,True,#95,16555,70,3.5,2733,881-960,17-22
Eastern Connecticut State University,CT,Willimantic,True,#69,16624,74,3.4,3926,980-1190,16-28
Eastern Florida State College,FL,Cocoa,True,Unranked,9739,,,12677,N/A,N/A
Eastern Illinois University,IL,Charleston,True,#60,15528,68,3.4,6916,900-1120,17-23
Eastern International College--Jersey City,NJ,Jersey City,True,Unranked,18046,,,369,N/A,N/A
Eastern Kentucky University,KY,Richmond,True,#352,20222,98,3.3,12072,940-1185,17-24
Eastern Mennonite University,VA,Harrisonburg,True,#47,40990,95,,958,1040-1590,25-34
Eastern Michigan University,MI,Ypsilanti,True,#376,15170,83,3.3,11617,930-1180,18-25
Eastern Nazarene College,MA,Quincy,True,#151-167,27990,64,,492,960-1315,18-26
Eastern New Mexico University,NM,Portales,True,#91,8843,33,,3756,860-1100,16-22
Eastern Oregon University,OR,La Grande,True,#84,23516,99,3.4,2415,N/A,N/A
Eastern University,PA,St. Davids,True,#141,37420,97,3.2,1848,N/A,N/A
Eastern Washington University,WA,Cheney,True,#49,27299,97,,8217,N/A,N/A
East Georgia State College,GA,Swainsboro,True,Unranked,9088,,,2008,N/A,N/A
East Stroudsburg University,PA,East Stroudsburg,True,#135,18346,87,3.2,4401,930-1160,16-23
East Tennessee State University,TN,Johnson City,True,#320,13484,85,3.5,10553,980-1190,19-26
East Texas Baptist University,TX,Marshall,True,#84,29900,68,3.5,1579,960-1170,18-25
East-West University,IL,Chicago,True,#186-204,23400,,,487,N/A,N/A
Eckerd College,FL,St. Petersburg,True,#130,50374,65,,1993,1107-1300,23-29
ECPI University,VA,Virginia Beach,True,#110,17479,83,,11399,N/A,N/A
Edgewood College,WI,Madison,True,#296,33550,95,,1233,N/A,N/A
Edmonds Community College,WA,Lynnwood,True,Unranked,10104,,,5606,N/A,N/A
EDP University of Puerto Rico Inc--San Juan,PR,San Juan,True,#29,6900,43,,1246,N/A,N/A
Edward Waters University,FL,Jacksonville,True,#66,14878,80,,2840,N/A,N/A
Elizabeth City State University,NC,Elizabeth City,True,#28,10956,74,3,2033,840-1080,14-23
Elizabethtown College,PA,Elizabethtown,True,#39,36842,81,3.7,1737,1070-1280,25-30
Elmhurst University,IL,Elmhurst,True,#6,41628,76,3.6,3027,980-1240,20-27
Elmira College,NY,Elmira,True,#7,39712,82,3.3,609,1118-1272,20-30
Elms College,MA,Chicopee,True,#60,42060,91,3.4,980,1070-1300,N/A
Elon University,NC,Elon,True,#133,44536,74,3.9,6337,1170-1360,25-30
Embry-Riddle Aeronautical University -- Daytona Beach,FL,Daytona Beach,True,#6,42304,65,,7177,1140-1340,23-29
Embry-Riddle Aeronautical University--Prescott,AZ,Prescott,True,#1,42204,68,,3120,1170-1380,24-31
Embry-Riddle Aeronautical University--Worldwide,FL,Daytona Beach,True,#123-135,11185,70,,9394,N/A,N/A
Emerson College,MA,Boston,True,#13,55392,43,3.7,4149,1250-1430,30-32
Emmanuel College,MA,Boston,True,#152,46686,80,,1947,1160-1310,25-30
Emmanuel University,GA,Franklin Springs,True,#52,23534,63,3.5,840,950-1020,N/A
Emmaus Bible College,IA,Dubuque,True,#41,19800,99,,193,1100-1240,18-26
Emory & Henry College,VA,Emory,True,#21,35155,97,3.6,1082,N/A,N/A
Emory University,GA,Atlanta,True,#24,60774,11,3.8,7101,1430-1550,32-34
Emporia State University,KS,Emporia,True,#83,15659,96,3.5,2740,N/A,18-24
Endicott College,MA,Beverly,True,#39,39212,73,3.6,3411,1130-1280,24-29
Erskine College,SC,Due West,True,#43,36710,69,3.3,817,920-1150,17-23
Escuela de Artes Plasticas de Puerto Rico,PR,San Juan,True,Unranked,7304,99,,485,N/A,N/A
Eureka College,IL,Eureka,True,#41,28110,87,3.2,559,870-1155,16-23
Evangel University,MO,Springfield,True,#108,27192,49,3.6,1258,990-1370,19-25
Everglades University,FL,Boca Raton,True,#97,20000,70,,2246,N/A,N/A
The Evergreen State College,WA,Olympia,True,#69,30973,96,3.3,1871,980-1220,22-29
Fairfield University,CT,Fairfield,True,#124,56360,52,3.8,4757,1240-1370,28-31
Fairleigh Dickinson University,NJ,Teaneck,True,#45,38770,87,3.2,7432,980-1280,20-27
Fairmont State University,WV,Fairmont,True,#98,18022,98,3.4,2790,820-1050,18-23
Faith Baptist Bible College and Theological Seminary,IA,Ankeny,True,#44,18740,56,,384,1020-1180,20-27
Farmingdale State College--SUNY,NY,Farmingdale,True,#16,18486,73,3.3,9264,1000-1175,19-24
Fashion Institute of Design & Merchandising,CA,Los Angeles,True,#6,32645,42,,1761,N/A,N/A
Fashion Institute of Technology,NY,New York,True,Unranked,16750,53,3.7,7872,N/A,N/A
Faulkner University,AL,Montgomery,True,#123-135,23920,14,3.4,1792,950-1130,17-24
Fayetteville State University,NC,Fayetteville,True,#69,6262,81,3.3,5748,870-1060,14-19
Feather River Community College District,CA,Quincy,True,Unranked,9531,,,1354,N/A,N/A
Felician University,NJ,Lodi,True,#123,37830,89,3.2,1803,893-1108,18-25
Ferris State University,MI,Big Rapids,True,#304,14686,88,3.3,9000,910-1150,18-23
Ferrum College,VA,Ferrum,True,#52,37280,76,,863,920-1180,18-24
Fisher College,MA,Boston,True,#40,34150,72,2.7,1253,800-1070,15-24
Fisk University,TN,Nashville,True,#146,23578,71,,1009,1090-1450,19-25
Fitchburg State University,MA,Fitchburg,True,#69,17001,86,3.3,3168,1020-1220,22-31
Five Towns College,NY,Dix Hills,True,Unranked,29200,58,2.8,496,N/A,N/A
Flagler College,FL,St. Augustine,True,#3,26610,81,3.6,2607,1050-1230,22-29
Florida A&M University,FL,Tallahassee,True,#170,17725,33,3.7,7709,1040-1170,20-24
Florida A&M University -- Florida State University College of Engineering,FL,,True,Unranked,,,,0,N/A,N/A
Florida Atlantic University,FL,Boca Raton,True,#209,21655,81,3.8,24229,1020-1200,20-25
Florida College,FL,Temple Terrace,True,#61,18060,58,,606,930-1200,19-27
Florida Gateway College,FL,Lake City,True,Unranked,11747,,,2792,N/A,N/A
Florida Gulf Coast University,FL,Fort Myers,True,#304,25161,74,,14137,1040-1200,20-25
Florida Institute of Technology,FL,Melbourne,True,#269,44360,64,3.5,3374,1120-1320,22-28
Florida International University,FL,Miami,True,#124,18964,64,3.9,45442,1060-1250,21-26
Florida Keys Community College,FL,Key West,True,Unranked,13162,,,865,N/A,N/A
Florida Memorial University,FL,Miami,True,#43,16836,57,,992,N/A,N/A
Florida National University,FL,Hialeah,True,#69,16088,99,,2465,N/A,N/A
Florida Polytechnic University,FL,Lakeland,True,#2,21005,47,3.5,1531,1233-1390,26-31
Florida Southern College,FL,Lakeland,True,#11,42360,57,3.8,2738,1160-1330,25-30
Florida SouthWestern State College,FL,Fort Myers,True,Unranked,9750,85,3.1,14337,N/A,N/A
Florida State College--Jacksonville,FL,Jacksonville,True,Unranked,9992,,,20717,N/A,N/A
Florida State University,FL,Tallahassee,True,#53,21683,25,3.7,32936,1210-1370,26-31
Fontbonne University,MO,St. Louis,True,#74,28976,94,3.3,682,N/A,18-25
Foothill College,CA,Los Altos Hills,True,Unranked,11510,,,12438,N/A,N/A
Fordham University,NY,New York,True,#89,61567,54,3.7,10098,1320-1480,30-33
Fort Hays State University,KS,Hays,True,#109,15870,90,,11402,N/A,N/A
Fort Lewis College,CO,Durango,True,#23,19724,91,3.3,3268,1000-1220,16-23
Fort Valley State University,GA,Fort Valley,True,#69,20190,43,3.3,2354,810-950,16-20
Framingham State University,MA,Framingham,True,#80,17460,87,3.1,2970,1010-1200,27-31
Franciscan Missionaries of Our Lady University,LA,Baton Rouge,True,Unranked,15012,55,,962,N/A,N/A
Franciscan University of Steubenville,OH,Steubenville,True,#26,32630,67,3.9,2785,1100-1320,22-28
Francis Marion University,SC,Florence,True,#55,21544,83,,3635,890-1123,15-22
Franklin College,IN,Franklin,True,#139,37350,93,3.5,894,970-1170,18-25
Franklin & Marshall College,PA,Lancaster,True,#35,68380,36,,1990,1300-1440,30-32
Franklin Pierce University,NH,Rindge,True,#141,43155,89,,1279,N/A,N/A
Franklin University,OH,Columbus,True,#149-164,9577,,,4740,N/A,N/A
Franklin University Switzerland,,6924 Sorengo (Lugano,True,Unranked,,,,0,N/A,N/A
Franklin W. Olin College of Engineering,MA,Needham,True,Unranked,61802,19,3.9,386,N/A,N/A
Freed-Hardeman University,TN,Henderson,True,#36,24300,91,3.7,1850,1040-1240,19-26
Fresno Pacific University,CA,Fresno,True,#41,35558,75,3.7,1744,1000-1220,25
Friends University,KS,Wichita,True,#124,32748,56,3.4,1279,985-1165,18-24
Frostburg State University,MD,Frostburg,True,#111,25180,88,,3264,970-1160,18-25
Furman University,SC,Greenville,True,#46,58312,67,3.7,2283,1260-1455,28-33
Galen College of Nursing--Louisville,KY,Louisville,True,Unranked,42420,,,3992,N/A,N/A
Gallaudet University,DC,Washington,True,#236,18254,59,3.8,914,753-1091,14-20
Gannon University,PA,Erie,True,#260,36676,81,3.6,2991,1030-1263,21-27
Gardner-Webb University,NC,Boiling Springs,True,#356,33230,79,,1983,960-1215,18-24
Geneva College,PA,Beaver Falls,True,#83,30990,79,,1180,N/A,N/A
George Fox University,OR,Newberg,True,#269,40940,92,3.7,2534,1020-1290,22-28
George Mason University,VA,Fairfax,True,#105,37976,90,3.7,27014,1140-1350,25-31
Georgetown College,KY,Georgetown,True,#186-204,42010,72,3.6,1233,1030-1230,18-24
Georgetown University,DC,Washington,True,#22,65082,12,,7900,1390-1560,32-35
George Washington University,DC,Washington,True,#67,64990,49,,11482,1330-1490,31-34
Georgia College & State University,GA,Milledgeville,True,#16,28178,80,3.5,5265,1060-1230,21-26
Georgia Gwinnett College,GA,Lawrenceville,True,#47,16244,94,3,11030,900-1120,15-20
Georgia Highlands College,GA,Rome,True,Unranked,9696,,,5240,N/A,N/A
Georgia Institute of Technology,GA,Atlanta,True,#33,32876,17,,18415,1370-1550,31-35
Georgia Military College,GA,Milledgeville,True,Unranked,7043,,,7014,N/A,N/A
Georgian Court University,NJ,Lakewood,True,#111,37110,76,3.6,1471,1043-1251,20-24
Georgia Southern University,GA,Statesboro,True,#352,20816,89,3.4,22003,950-1150,18-23
Georgia Southwestern State University,GA,Americus,True,#103,19434,86,,2466,990-1170,19-23
Georgia State University,GA,Atlanta,True,#227,29306,61,3.6,28927,940-1190,19-26
Gettysburg College,PA,Gettysburg,True,#63,64230,56,,2241,1350-1440,28-32
Glenville State University,WV,Glenville,True,#52,11140,,,1557,N/A,N/A
Goddard College,VT,Plainfield,True,Unranked,18477,100,,146,N/A,N/A
God's Bible School and College,OH,Cincinnati,True,#57,7046,65,,336,N/A,N/A
Goldey-Beacom College,DE,Wilmington,True,#123,13050,91,3.3,620,920-1120,21-22
Goldfarb School of Nursing at Barnes-Jewish College,MO,Saint Louis,True,Unranked,21515,,,566,N/A,N/A
Gonzaga University,WA,Spokane,True,#93,53500,70,3.7,5084,1210-1410,26-31
Good Samaritan College of Nursing and Health Science,OH,Cincinnati,True,Unranked,15470,89,,305,N/A,N/A
Goodwin University,CT,East Hartford,True,#41-44,21198,,,3156,N/A,N/A
Gordon College,MA,Wenham,True,#163,28100,92,3.7,1294,1070-1305,23-32
Gordon State College,GA,Barnesville,True,#91-99,10381,88,,3101,900-1080,16-23
Goshen College,IN,Goshen,True,#12,37760,94,3.5,717,990-1220,22-29
Goucher College,MD,Baltimore,True,#124,51250,81,3.3,1002,1110-1370,24-33
Governors State University,IL,University Park,True,#149-164,23536,57,3.9,2609,830-1060,16-22
Grace Christian University,MI,Grand Rapids,True,#55,22350,100,,969,N/A,N/A
Grace College and Seminary,IN,Winona Lake,True,#55,29048,83,,1598,990-1220,19-27
Graceland University,IA,Lamoni,True,#121,33220,74,3.3,890,830-1085,16-23
Grambling State University,LA,Grambling,True,#100,16706,72,,4405,822-1040,15-19
Grand Canyon University,AZ,Phoenix,True,#395-435,17800,83,,65870,N/A,N/A
Grand Valley State University,MI,Allendale,True,#235,20820,92,,19379,N/A,N/A
Grand View University,IA,Des Moines,True,#92,33450,100,,1561,920-1080,17-22
Grays Harbor College,WA,Aberdeen,True,Unranked,10284,,,1469,N/A,N/A
Grayson College,TX,,True,Unranked,5692,,,4410,N/A,N/A
Great Basin College,NV,Elko,True,#45-48,13037,,,3414,N/A,N/A
Great Lakes Christian College,MI,Lansing,True,#68-74,17220,,,165,N/A,N/A
Green River College,WA,Auburn,True,Unranked,4916,,,6559,N/A,N/A
Greensboro College,NC,Greensboro,True,#103,20400,84,3.4,730,N/A,N/A
Greenville University,IL,Greenville,True,#112,30598,94,3.2,948,850-1100,16-25
Grinnell College,IA,Grinnell,True,#11,64862,11,,1759,1380-1530,31-34
Grove City College,PA,Grove City,True,#4,20890,71,3.7,2289,1130-1360,25-32
Guilford College,NC,Greensboro,True,#167,41140,82,,1192,950-1200,17-23
Gulf Coast State College,FL,Panama City,True,Unranked,8635,,,4377,N/A,N/A
Gustavus Adolphus College,MN,St. Peter,True,#67,54310,74,3.6,2088,N/A,25-31
Gwynedd Mercy University,PA,Gwynedd Valley,True,#260,38310,90,3.4,1412,1015-1235,25-28
Hamilton College,NY,Clinton,True,#16,65740,12,,2075,1420-1540,33-34
Hamline University,MN,St. Paul,True,#10,49031,81,,1782,1010-1273,19-26
Hampden-Sydney College,VA,Hampden-Sydney,True,#116,52388,40,3.4,835,1040-1310,23-29
Hampshire College,MA,Amherst,True,#139,56990,69,3.3,508,N/A,N/A
Hampton University,VA,Hampton,True,#280,29312,45,3.3,2794,840-1220,17-27
Hannibal-LaGrange University,MO,Hannibal,True,#53,25600,65,,658,1070-1317,19-24
Hanover College,IN,Hanover,True,#112,41441,74,3.8,951,1090-1270,24-29
Harding University,AR,Searcy,True,#304,24888,45,3.7,3523,1040-1300,20-28
Hardin-Simmons University,TX,Abilene,True,#395-435,31686,87,3.6,1347,1010-1198,18-24
Harrisburg University of Science and Technology,PA,Harrisburg,True,#151-167,23900,84,3.3,649,N/A,N/A
Harris-Stowe State University,MO,St. Louis,True,#68-74,10690,17,3,1084,N/A,N/A
Hartwick College,NY,Oneonta,True,#121,52849,60,3.5,1099,1020-1210,19-27
Harvard University,MA,Cambridge,True,#3,59076,3,3.9,7240,1490-1580,34-36
Harvey Mudd College,CA,Claremont,True,#16,66255,13,,906,1480-1560,34-36
Haskell Indian Nations University,KS,Lawrence,True,Unranked,480,94,,701,N/A,N/A
Hastings College,NE,Hastings,True,#20,36130,71,,924,N/A,N/A
Haverford College,PA,Haverford,True,#21,68020,14,,1421,1430-1540,33-35
Hawaii Pacific University,HI,Honolulu,True,#73,31940,85,,4066,1070-1238,22-28
Hebrew Theological College,IL,Skokie,True,#186-204,14200,80,,170,N/A,N/A
Heidelberg University,OH,Tiffin,True,#53,33628,71,,932,1030-1162,19-24
Hellenic College,MA,Brookline,True,Unranked,22490,76,,39,N/A,N/A
Henderson State University,AR,Arkadelphia,True,#108,9768,75,,2228,978-1151,18-24
Hendrix College,AR,Conway,True,#112,36650,60,3.9,1130,1130-1340,23-31
Henry Ford College,MI,Dearborn,True,Unranked,7348,,,11379,N/A,N/A
Heritage University,WA,Toppenish,True,#50,19500,,,811,N/A,N/A
Herzing University,WI,Madison,True,#149-164,12750,94,,1664,N/A,N/A
Herzing University-Atlanta,GA,Atlanta,True,#91-99,12750,95,,572,N/A,N/A
Herzing University-Brookfield,WI,Brookfield,True,Unranked,12750,91,,348,N/A,N/A
Herzing University-Kenosha,WI,Kenosha,True,Unranked,12750,93,,644,N/A,N/A
Herzing University--Minneapolis,MN,,True,Unranked,12750,94,,750,N/A,N/A
Herzing University--Orlando,FL,Winter Park,True,Unranked,12750,94,,728,N/A,N/A
Hesston College,KS,Hesston,True,Unranked,29952,,,331,N/A,N/A
Highline College,WA,Des Moines,True,Unranked,4948,,,4951,N/A,N/A
High Point University,NC,High Point,True,#1,46548,79,3.4,5036,1103-1280,23-29
Hilbert College,NY,Hamburg,True,#28,29900,93,,728,898-1113,N/A
Hillsdale College,MI,Hillsdale,True,#39,32092,21,3.9,1573,1360-1520,30-34
Hiram College,OH,Hiram,True,#10,26265,93,3.4,1002,961-1153,16-23
Hobart and William Smith Colleges,NY,Geneva,True,#70,63268,68,3.6,1559,1210-1400,27-32
Hodges University,FL,Naples,True,#123-135,15500,,,432,N/A,N/A
Hofstra University,NY,Hempstead,True,#185,55450,69,3.8,6110,1190-1370,26-31
Hollins University,VA,Roanoke,True,#124,41210,72,3.7,691,1113-1298,N/A
Holy Apostles College and Seminary,CT,Cromwell,True,Unranked,9440,,,278,N/A,N/A
"Holy Cross College at Notre Dame, Indiana",IN,Notre Dame,True,#186-204,35500,76,3.8,494,1110-1330,N/A
Holy Family University,PA,Philadelphia,True,#116,32558,77,,2171,930-1220,18-24
Hood College,MD,Frederick,True,#60,45870,78,3.5,1202,N/A,N/A
Hope College,MI,Holland,True,#100,37221,80,3.8,3251,1090-1330,24-31
Hope International University,CA,Fullerton,True,#81,36250,32,3.3,590,930-1070,N/A
Houghton University,NY,Houghton,True,#146,17290,93,,813,1080-1290,20-31
Houston Christian University,TX,Houston,True,#66,36600,85,,2780,1040-1250,22-27
Howard Payne University,TX,Brownwood,True,#30,33552,62,3.5,773,920-1130,19-22
Howard University,DC,Washington,True,#115,33344,53,3.7,9809,1050-1290,20-26
Huertas College,PR,Caguas,True,Unranked,7920,,,505,N/A,N/A
Hult International Business School,MA,Cambridge,True,Unranked,50800,44,,1666,N/A,N/A
Humphreys University,CA,Stockton,True,Unranked,14760,,,199,N/A,N/A
Huntingdon College,AL,Montgomery,True,#9,28650,66,,813,980-1070,19-25
Huntington University,IN,Huntington,True,#37,28930,79,,1120,1010-1208,19-24
Husson University,ME,Bangor,True,#361,22194,91,,2453,1020-1210,N/A
Huston-Tillotson University,TX,Austin,True,#35,14703,50,,991,820-1000,14-20
Idaho State University,ID,Pocatello,True,#395-435,25936,,,9818,N/A,N/A
