institution.displayName,institution.city,institution.zip,ranking.displayRank,searchData.satAvg.rawValue,searchData.testAvgs.displayValue.1.value
Belmont Abbey College,Belmont,28012,#30,950,18-26
Belmont University,Nashville,37212,#236,1150,24-30
Beloit College,Beloit,53511,#86,1190,26-31
Bemidji State University,Bemidji,56601,#83,,19-25
Benedict College,Columbia,29204,#86,820,14-20
Benedictine College,Atchison,66002,#8,1095,22-28
Benedictine University,Lisle,60532,#56,980,19-27
Benjamin Franklin Institute of Technology,Boston,02116,Unranked,,N/A
Bennett College,Greensboro,27401,#180,,N/A
Bennington College,Bennington,05201,#112,1260,29-33
Bentley University,Waltham,02452,#1,1258,28-32
Berea College,Berea,40404,#30,1136,23-27
Berkeley College (NJ),Woodland Park,07424,#151-167,,N/A
Berkeley College (NY),New York,10017,#36,,N/A
Berklee College of Music,Boston,02215,#39,,N/A
Berry College,Mount Berry,30149,#5,1110,21-29
Bethany College (KS),Lindsborg,67456,#63,882,15-22
Bethany College (WV),Bethany,26032,#186-204,870,18-26
Bethany Lutheran College,Mankato,56001,#159,990,20-25
Bethel College,North Newton,67117,#23,850,18-24
Bethel University (IN),Mishawaka,46545,#47,980,16-26
Bethel University (MN),St. Paul,55112,#236,,20-28
Bethel University (TN),McKenzie,38201,#110,,15-21
Bethune-Cookman University,Daytona Beach,32114,#186-204,830,15-18
Binghamton University--SUNY,Binghamton,13902,#73,1340,29-34
Biola University,La Mirada,90639,#236,1105,23-30
Birmingham-Southern College,Birmingham,35254,#135,1150,22-29
Bismarck State College,Bismarck,58506,#39,,16-22
Blackburn College,Carlinville,62626,#35,888,16-24
Black Hills State University,Spearfish,57799,#145,990,18-25
Blessing-Rieman College of Nursing and Health Sciences,Quincy,62305,Unranked,,N/A
Bluefield State University,Bluefield,24701,#57,880,17-23
Bluefield University,Bluefield,24605,#104,,N/A
Blue Mountain Christian University,Blue Mountain,38610,#17,1000,18-25
Bluffton University,Bluffton,45817,#22,843,16-24
Bob Jones University,Greenville,29614,#24,,N/A
Boise State University,Boise,83725,#332,950,20-27
Bon Secours Memorial College of Nursing,Richmond,,Unranked,,N/A
Boricua College,New York,10032,#23,,N/A
Boston Architectural College,Boston,02115,Unranked,,N/A
Boston College,Chestnut Hill,02467,#39,1435,33-35
Boston University,Boston,02215,#43,1350,31-34
Bowdoin College,Brunswick,04011,#9,1460,33-35
Bowie State University,Bowie,20715,#130,800,15-20
Bowling Green State University,Bowling Green,43403,#280,990,20-25
Bradley University,Peoria,61625,#185,1050,24-30
Brandeis University,Waltham,02454,#60,1340,31-34
Brazosport College,Lake Jackson,77566,Unranked,,N/A
Brenau University,Gainesville,30501,#394-435,970,18-23
Brescia University,Owensboro,42301,#44,920,18-25
Brevard College,Brevard,28712,#33,960,18-22
Brewton-Parker College,Mount Vernon,30445,#91-99,900,17-21
Briar Cliff University,Sioux City,51104,#394-435,,17-22
Bridgewater College,Bridgewater,22812,#167,1020,22-28
Bridgewater State University,Bridgewater,02325,#91,1030,19-25
Brigham Young University,Provo,84602,#115,1280,27-32
Brigham Young University--Hawaii,Laie Oahu,96762,#9,1075,21-27
Brigham Young University--Idaho,Rexburg,83460,#8,990,20-26
Brookline College--Albuquerque,Albuquerque,,Unranked,,N/A
Brookline College-Phoenix,Phoenix,,Unranked,,N/A
Broward College,Fort Lauderdale,33301,#47,,N/A
