institution.displayName,institution.city,institution.zip,ranking.displayRank,searchData.satAvg.rawValue,searchData.testAvgs.displayValue.1.value
Fordham University,New York,10023,#89,1320,30-33
Fort Hays State University,Hays,67601,#109,,N/A
Fort Lewis College,Durango,81301,#23,1000,16-23
Fort Valley State University,Fort Valley,31030,#69,810,16-20
Framingham State University,Framingham,01701,#80,1010,27-31
Franciscan Missionaries of Our Lady University,Baton Rouge,70808,Unranked,,N/A
Franciscan University of Steubenville,Steubenville,43952,#26,1100,22-28
Francis Marion University,Florence,29502,#55,890,15-22
Franklin College,Franklin,46131,#139,970,18-25
Franklin & Marshall College,Lancaster,17604,#35,1300,30-32
Franklin Pierce University,Rindge,03461,#141,,N/A
Franklin University,Columbus,43215,#149-164,,N/A
Franklin University Switzerland,6924 Sorengo (Lugano,,Unranked,,N/A
Franklin W. Olin College of Engineering,Needham,02492,Unranked,,N/A
Freed-Hardeman University,Henderson,38340,#36,1040,19-26
Fresno Pacific University,Fresno,93727,#41,1000,25
Friends University,Wichita,67213,#124,985,18-24
Frostburg State University,Frostburg,21532,#111,970,18-25
Furman University,Greenville,29613,#46,1260,28-33
Galen College of Nursing--Louisville,Louisville,,Unranked,,N/A
Gallaudet University,Washington,20002,#236,753,14-20
Gannon University,Erie,16541,#260,1030,21-27
Gardner-Webb University,Boiling Springs,28017,#356,960,18-24
Geneva College,Beaver Falls,15010,#83,,N/A
George Fox University,Newberg,97132,#269,1020,22-28
George Mason University,Fairfax,22030,#105,1140,25-31
Georgetown College,Georgetown,40324,#186-204,1030,18-24
Georgetown University,Washington,20057,#22,1390,32-35
George Washington University,Washington,20052,#67,1330,31-34
Georgia College & State University,Milledgeville,31061,#16,1060,21-26
Georgia Gwinnett College,Lawrenceville,30043,#47,900,15-20
Georgia Highlands College,Rome,30161,Unranked,,N/A
Georgia Institute of Technology,Atlanta,30332,#33,1370,31-35
Georgia Military College,Milledgeville,31061,Unranked,,N/A
Georgian Court University,Lakewood,08701,#111,1043,20-24
Georgia Southern University,Statesboro,30460,#352,950,18-23
Georgia Southwestern State University,Americus,31709,#103,990,19-23
Georgia State University,Atlanta,30302,#227,940,19-26
Gettysburg College,Gettysburg,17325,#63,1350,28-32
Glenville State University,Glenville,26351,#52,,N/A
Goddard College,Plainfield,05667,Unranked,,N/A
God's Bible School and College,Cincinnati,45210,#57,,N/A
Goldey-Beacom College,Wilmington,19808,#123,920,21-22
Goldfarb School of Nursing at Barnes-Jewish College,Saint Louis,63110,Unranked,,N/A
Gonzaga University,Spokane,99258,#93,1210,26-31
Good Samaritan College of Nursing and Health Science,Cincinnati,,Unranked,,N/A
Goodwin University,East Hartford,,#41-44,,N/A
Gordon College,Wenham,01984,#163,1070,23-32
Gordon State College,Barnesville,30204,#91-99,900,16-23
Goshen College,Goshen,46526,#12,990,22-29
Goucher College,Baltimore,21204,#124,1110,24-33
Governors State University,University Park,60484,#149-164,830,16-22
Grace Christian University,Grand Rapids,49509,#55,,N/A
Grace College and Seminary,Winona Lake,46590,#55,990,19-27
Graceland University,Lamoni,50140,#121,830,16-23
Grambling State University,Grambling,71245,#100,822,15-19
Grand Canyon University,Phoenix,85017,#395-435,,N/A
Grand Valley State University,Allendale,49401,#235,,N/A
Grand View University,Des Moines,50316,#92,920,17-22
Grays Harbor College,Aberdeen,98520,Unranked,,N/A
Grayson College,,,Unranked,,N/A
Great Basin College,Elko,89801,#45-48,,N/A
Great Lakes Christian College,Lansing,48917,#68-74,,N/A
Green River College,Auburn,98092,Unranked,,N/A
Greensboro College,Greensboro,27401,#103,,N/A
Greenville University,Greenville,62246,#112,850,16-25
Grinnell College,Grinnell,50112,#11,1380,31-34
Grove City College,Grove City,16127,#4,1130,25-32
Guilford College,Greensboro,27410,#167,950,17-23
Gulf Coast State College,Panama City,32401,Unranked,,N/A
Gustavus Adolphus College,St. Peter,56082,#67,,25-31
Gwynedd Mercy University,Gwynedd Valley,19437,#260,1015,25-28
Hamilton College,Clinton,13323,#16,1420,33-34
Hamline University,St. Paul,55104,#10,1010,19-26
Hampden-Sydney College,Hampden-Sydney,23943,#116,1040,23-29
Hampshire College,Amherst,01002,#139,,N/A
Hampton University,Hampton,23668,#280,840,17-27
Hannibal-LaGrange University,Hannibal,63401,#53,1070,19-24
Hanover College,Hanover,47243,#112,1090,24-29
Harding University,Searcy,72149,#304,1040,20-28
Hardin-Simmons University,Abilene,79698,#395-435,1010,18-24
Harrisburg University of Science and Technology,Harrisburg,17101,#151-167,,N/A
Harris-Stowe State University,St. Louis,63103,#68-74,,N/A
Hartwick College,Oneonta,13820,#121,1020,19-27
Harvard University,Cambridge,02138,#3,1490,34-36
Harvey Mudd College,Claremont,91711,#16,1480,34-36
Haskell Indian Nations University,Lawrence,66046,Unranked,,N/A
Hastings College,Hastings,68901,#20,,N/A
Haverford College,Haverford,19041,#21,1430,33-35
Hawaii Pacific University,Honolulu,96813,#73,1070,22-28
Hebrew Theological College,Skokie,60077,#186-204,,N/A
Heidelberg University,Tiffin,44883,#53,1030,19-24
Hellenic College,Brookline,02445,Unranked,,N/A
Henderson State University,Arkadelphia,71999,#108,978,18-24
Hendrix College,Conway,72032,#112,1130,23-31
Henry Ford College,Dearborn,48128,Unranked,,N/A
Heritage University,Toppenish,98948,#50,,N/A
Herzing University,Madison,53718,#149-164,,N/A
Herzing University-Atlanta,Atlanta,,#91-99,,N/A
Herzing University-Brookfield,Brookfield,,Unranked,,N/A
Herzing University-Kenosha,Kenosha,,Unranked,,N/A
Herzing University--Minneapolis,,,Unranked,,N/A
Herzing University--Orlando,Winter Park,,Unranked,,N/A
Hesston College,Hesston,67062,Unranked,,N/A
Highline College,Des Moines,98198,Unranked,,N/A
High Point University,High Point,27268,#1,1103,23-29
Hilbert College,Hamburg,14075,#28,898,N/A
Hillsdale College,Hillsdale,49242,#39,1360,30-34
Hiram College,Hiram,44234,#10,961,16-23
Hobart and William Smith Colleges,Geneva,14456,#70,1210,27-32
Hodges University,Naples,34119,#123-135,,N/A
Hofstra University,Hempstead,11549,#185,1190,26-31
Hollins University,Roanoke,24020,#124,1113,N/A
Holy Apostles College and Seminary,Cromwell,06416,Unranked,,N/A
"Holy Cross College at Notre Dame, Indiana",Notre Dame,46556,#186-204,1110,N/A
Holy Family University,Philadelphia,19114,#116,930,18-24
Hood College,Frederick,21701,#60,,N/A
Hope College,Holland,49422,#100,1090,24-31
Hope International University,Fullerton,92831,#81,930,N/A
Houghton University,Houghton,14744,#146,1080,20-31
Houston Christian University,Houston,77074,#66,1040,22-27
Howard Payne University,Brownwood,76801,#30,920,19-22
Howard University,Washington,20059,#115,1050,20-26
Huertas College,Caguas,,Unranked,,N/A
Hult International Business School,Cambridge,02141,Unranked,,N/A
Humphreys University,Stockton,95207,Unranked,,N/A
Huntingdon College,Montgomery,36106,#9,980,19-25
Huntington University,Huntington,46750,#37,1010,19-24
Husson University,Bangor,04401,#361,1020,N/A
Huston-Tillotson University,Austin,78702,#35,820,14-20
Idaho State University,Pocatello,83209,#395-435,,N/A
Ilisagvik College,Barrow,,Unranked,,N/A
Illinois College,Jacksonville,62650,#124,960,21-26
Illinois Institute of Technology,Chicago,60616,#98,1220,28-32
Illinois State University,Normal,61790,#209,1000,21-27
Illinois Wesleyan University,Bloomington,61702,#1,1120,25-30
Immaculata University,Immaculata,19345,#280,1090,N/A
Indiana State University,Terre Haute,47809,#382,915,17-24
Indiana Tech,Fort Wayne,46803,#124,910,18-24
Indiana University--Bloomington,Bloomington,47405,#73,1180,27-32
Indiana University East,Richmond,47374,#103,960,18-26
Indiana University--Kokomo,Kokomo,46904,#117,1000,21-26
Indiana University Northwest,Gary,46408,#141,950,20-25
Indiana University of Pennsylvania,Indiana,15705,#320,940,17-23
Indiana University-Purdue University--Indianapolis,Indianapolis,46202,#201,1050,21-27
Indiana University--South Bend,South Bend,46634,#112,970,18-22
Indiana University Southeast,New Albany,47150,#133,1000,20-25
Indiana Wesleyan University,Marion,46953,#13,1000,21-27
Indian River State College,Fort Pierce,34981,Unranked,,N/A
Institute of American Indian Arts,Santa Fe,87508,Unranked,,N/A
Inter American University of Puerto Rico--Aguadilla,Aguadilla,00605,#118,,N/A
Inter American University of Puerto Rico--Arecibo,Arecibo,00614,#118,,N/A
Inter American University of Puerto Rico--Barranquitas,Barranquitas,00794,#43,,N/A
Inter American University of Puerto Rico--Bayamon,Bayamon,00957,#89,,N/A
Inter American University of Puerto Rico--Fajardo,Fajardo,00738,#81,,N/A
Inter American University of Puerto Rico--Guayama,Guayama,00785,#74,,N/A
Inter American University of Puerto Rico--Metropolitan Campus,San Juan,00919,#120,,N/A
Inter American University of Puerto Rico--Ponce,Mercedita,00715,#76,,N/A
Inter American University of Puerto Rico--San German,San German,00683,#93,,N/A
International College of the Cayman Islands,Grand Cayman KY1-1501,,Unranked,,N/A
Iona University,New Rochelle,10801,#60,1030,23-31
Iowa State University of Science and Technology,Ames,50011,#115,1090,21-28
Ithaca College,Ithaca,14850,#13,1203,28-32
Jackson College,Jackson,49201,Unranked,,N/A
Jackson State University,Jackson,39217,#395-435,940,16-20
Jacksonville State University,Jacksonville,36265,#63,1010,16-23
Jacksonville University,Jacksonville,32211,#36,1060,20-26
James Madison University,Harrisonburg,22807,#124,1140,23-29
Jamestown Business College,Jamestown,14701,Unranked,,N/A
Jarvis Christian University,Hawkins,75765,#34,,N/A
Jessup University,Rocklin,95765,#56,1020,N/A
Jewish Theological Seminary of America,New York,10027,Unranked,,N/A
John Brown University,Siloam Springs,72761,#13,1100,21-28
John Carroll University,University Heights,44118,#3,1160,25-30
John Paul the Great Catholic University,Escondido,92025,#15,1068,19-24
Johns Hopkins University,Baltimore,21218,#9,1520,34-35
Johnson C. Smith University,Charlotte,28216,#172,,N/A
Johnson University (TN),Knoxville,37998,#31,980,19-24
Johnson & Wales University--Charlotte,Charlotte,,#24,890,16-22
Johnson & Wales University--Providence,Providence,02903,#69,940,22-29
Judson University,Elgin,60123,#108,910,16-27
Juilliard School,New York,10023,Unranked,,N/A
Juniata College,Huntingdon,16652,#82,1120,26-30
Kalamazoo College,Kalamazoo,49006,#70,1200,26-32
Kansas City Art Institute,Kansas City,64111,Unranked,,N/A
Kansas State University,Manhattan,66506,#170,,20-27
Kansas Wesleyan University,Salina,67401,#41,878,17-22
Kean University,Union,07083,#320,900,16-25
Keene State College,Keene,03435,#12,930,N/A
Keiser University,Ft. Lauderdale,33309,#249,,N/A
Kennesaw State University,Kennesaw,30144,#394-435,1030,19-25
Kent State University,Kent,44242,#227,1000,18-25
Kent State University at East Liverpool,East Liverpool,,#68-74,,N/A
Kentucky Christian University,Grayson,41143,#64,800,16-21
Kentucky State University,Frankfort,40601,#34,795,14-23
Kentucky Wesleyan College,Owensboro,42301,#22,980,18-23
Kenyon College,Gambier,43022,#39,1370,31-34
Kettering College,Kettering,45429,Unranked,,N/A
Kettering University,Flint,48504,#9,1130,24-30
Keuka College,Keuka Park,14478,#137,940,N/A
Keystone College,La Plume,18440,#29,910,17-25
King's College,Wilkes-Barre,18711,#91,1070,22-26
The King's College,New York,10004,#167,1140,24-30
King University,Bristol,37620,#59,1010,18-24
Knox College,Galesburg,61401,#75,1163,27-32
Kutztown University of Pennsylvania,Kutztown,19530,#116,1040,19-26
Kuyper College,Grand Rapids,49525,#56,,N/A
Laboure College,Milton,,Unranked,,N/A
Lackawanna College,Scranton,18509,Unranked,,N/A
Lafayette College,Easton,18042,#30,1330,30-33
LaGrange College,LaGrange,30240,#12,,N/A
Laguna College of Art and Design,Laguna Beach,92651,Unranked,,N/A
Lake Erie College,Painesville,44077,#142,905,17-23
Lake Forest College,Lake Forest,60045,#73,1155,26-31
Lakeland University,Plymouth,53073,#140,,N/A
Lake Michigan College,Benton Harbor,49022,Unranked,,N/A
Lake-Sumter State College,Leesburg,34788,Unranked,,N/A
Lake Superior State University,Sault Ste. Marie,49783,#10,975,18-23
Lakeview College of Nursing,Danville,61832,Unranked,,N/A
Lake Washington Institute of Technology,Kirkland,98034,Unranked,,N/A
Lamar University,Beaumont,77710,#395-435,920,16-24
Lancaster Bible College,Lancaster,17601,#141,1010,20-26
Lander University,Greenwood,29649,#20,950,17-24
Landmark College,Putney,05346,Unranked,,N/A
Lane College,Jackson,38301,#186-204,,14-17
Langston University,Langston,73050,#105-115,,N/A
La Roche University,Pittsburgh,15237,#137,970,20-26
La Salle University,Philadelphia,19141,#201,,N/A
Lasell University,Newton,02466,#104,995,22-26
La Sierra University,Riverside,92515,#41,900,16-24
Lawrence Technological University,Southfield,48075,#53,1030,22-30
Lawrence University,Appleton,54911,#75,1210,27-32
Lebanese American University,Chouran,,Unranked,,N/A
Lebanon Valley College,Annville,17003,#64,1120,23-31
Lees-McRae College,Banner Elk,28604,#28,1040,20-26
Lee University,Cleveland,37320,#31,1010,19-27
Lehigh University,Bethlehem,18015,#47,1340,30-33
Le Moyne College,Syracuse,13214,#17,1130,26-31
LeMoyne-Owen College,Memphis,38126,#91-99,898,13-17
Lenoir-Rhyne University,Hickory,28601,#40,995,17-24
Lesley University,Cambridge,02138,#342,,N/A
LeTourneau University,Longview,75607,#34,1120,20-29
Lewis & Clark College,Portland,97219,#93,1260,29-32
Lewis-Clark State College,Lewiston,83501,#26,,N/A
Lewis University,Romeoville,60446,#13,1010,21-29
Liberty University,Lynchburg,24502,#395-435,980,17-24
Life Pacific University,San Dimas,91773,#20,,N/A
Life University,Marietta,30060,#110,830,17-19
LIM College,New York,10017,Unranked,,N/A
Limestone University,Gaffney,29340,#63,975,20-27
Lincoln Christian University,Lincoln,62656,#149-164,,N/A
Lincoln Memorial University,Harrogate,37752,#269,982,18-24
Lincoln University (CA),Oakland,94612,Unranked,,N/A
Lincoln University (MO),Jefferson City,65101,#64,,N/A
Lincoln University (PA),Lincoln University,19352,#123,840,15-20
Lindenwood University,St. Charles,63301,#121,890,19-25
Lindsey Wilson College,Columbia,42728,#93,,17-22
Linfield University,McMinnville,97128,#107,,N/A
Lipscomb University,Nashville,37204,#236,1130,23-30
Livingstone College,Salisbury,28144,#78,800,14-16
Logan University,Chesterfield,,Unranked,,N/A
Loma Linda University,Loma Linda,92350,Unranked,,N/A
Long Island University,Brookville,11548,#369,1100,23-29
Longwood University,Farmville,23909,#21,1020,N/A
Loras College,Dubuque,52004,#12,,N/A
Louisiana Christian University,Pineville,71359,#105,960,18-23
Louisiana State University--Alexandria,Alexandria,71302,#61,970,18-22
Louisiana State University--Baton Rouge,Baton Rouge,70803,#185,1140,23-28
Louisiana State University Health Sciences Center,New Orleans,70112,Unranked,,N/A
Louisiana State University--Shreveport,Shreveport,71115,#93,1090,19-24
Louisiana Tech University,Ruston,71272,#304,1120,22-28
Lourdes University,Sylvania,43560,#120,,17-23
Loyola Marymount University,Los Angeles,90045,#93,1300,29-32
Loyola University Chicago,Chicago,60660,#142,1190,27-32
Loyola University Maryland,Baltimore,21210,#7,1180,26-33
Loyola University New Orleans,New Orleans,70118,#260,,N/A
Lubbock Christian University,Lubbock,79407,#82,940,19-24
Luther College,Decorah,52101,#116,1075,22-29
Lycoming College,Williamsport,17701,#107,1053,20-25
Lynn University,Boca Raton,33431,#49,1033,21-25
Lyon College,Batesville,72503,#167,1020,21-26
Macalester College,St. Paul,55105,#27,1370,31-34
Madonna University,Livonia,48150,#84,870,14-15
Maharishi International University,Fairfield,52557,#149-164,,N/A
Maine College of Art,Portland,04101,Unranked,,N/A
Maine Maritime Academy,Castine,04420,#5,1075,22-29
Malone University,Canton,44709,#101,993,18-24
Manchester University,North Manchester,46962,#60,,N/A
Manhattan Christian College,Manhattan,66502,Unranked,,N/A
Manhattan College,Riverdale,10471,#13,1140,23-30
Manhattan School of Music,New York,10027,Unranked,,N/A
Manhattanville College,Purchase,10577,#80,1040,20-26
Manor College,,,Unranked,,N/A
Maranatha Baptist University,Watertown,53094,#133,990,19-26
Maria College of Albany,Albany,12208,Unranked,,N/A
Marian University (IN),Indianapolis,46222,#280,,N/A
Marian University (WI),Fond du Lac,54935,#124,800,18-23
Marietta College,Marietta,45750,#18,940,18-24
Marist College,Poughkeepsie,12601,#10,1209,25-30
Marquette University,Milwaukee,53201,#86,1170,26-31
Marshall University,Huntington,25755,#332,910,18-24
Mars Hill University,Mars Hill,28754,#20,950,18-24
Martin Luther College,New Ulm,56073,Unranked,,N/A
Martin University,Indianapolis,46218,#186-204,,N/A
Mary Baldwin University,Staunton,24401,#395-435,930,16-24
Maryland Institute College of Art,Baltimore,21217,Unranked,,N/A
Marymount Manhattan College,New York,10021,#174,1080,22-28
Marymount University,Arlington,22207,#320,,N/A
Maryville College,Maryville,37804,#172,930,19-27
Maryville University of St. Louis,St Louis,63141,#249,960,19-25
Marywood University,Scranton,18509,#50,1030,18-26
Massachusetts College of Art and Design,Boston,02115,Unranked,,N/A
Massachusetts College of Liberal Arts,North Adams,01247,#121,,N/A
Massachusetts Institute of Technology,Cambridge,02139,#2,1520,35-36
Massachusetts Maritime Academy,Buzzards Bay,02532,#11,,N/A
The Master's University and Seminary,Santa Clarita,91321,#332,,N/A
Mayville State University,Mayville,58257,#60,,16-24
McDaniel College,Westminster,21157,#80,1020,23-29
McKendree University,Lebanon,62254,#84,920,18-24
McMurry University,Abilene,79697,#23,1040,20-25
McNeese State University,Lake Charles,70609,#86,970,18-24
McPherson College,McPherson,67460,#27,908,17-23
MCPHS University,Boston,02115,Unranked,,N/A
Medgar Evers College--CUNY,Brooklyn,11225,#182,,N/A
Medical University of South Carolina,Charleston,29425,Unranked,,N/A
Menlo College,Atherton,94027,Unranked,,N/A
Mercer University,Macon,31207,#170,1190,26-31
Mercy College of Health Sciences,Des Moines,50309,Unranked,,N/A
Mercy College of Ohio,Toledo,43604,Unranked,,N/A
Mercyhurst University,Erie,16546,#54,1050,21-27
Mercy University,Dobbs Ferry,10522,#123,910,23-27
Meredith College,Raleigh,27607,#130,1140,22-28
Merrimack College,North Andover,01845,#33,1020,22-28
Messiah University,Mechanicsburg,17055,#33,1090,25-30
Methodist College,Peoria,,Unranked,,N/A
Methodist University,Fayetteville,28311,#91,1063,23-26
Metropolitan College of New York,New York,10006,#151-167,,N/A
Metropolitan State University,St. Paul,55106,#96,,N/A
Metropolitan State University of Denver,Denver,80217,#94,920,16-23
MGH Institute of Health Professions,Boston,,Unranked,,N/A
Miami Dade College,Miami,33132,Unranked,,N/A
Miami International University of Art & Design,Miami,33132,#81,,N/A
Miami Regional University,,,Unranked,,N/A
Miami University--Hamilton,Hamilton,,#58,,N/A
Miami University--Middletown,Middletown,,#58,,N/A
Miami University--Oxford,Oxford,45056,#133,1160,24-29
Michigan State University,East Lansing,48824,#60,1100,24-30
Michigan Technological University,Houghton,49931,#151,1130,24-30
Mid-America Christian University,Oklahoma City,73170,#105-115,,N/A
MidAmerica Nazarene University,Olathe,66062,#112,916,17-24
Mid-Atlantic Christian University,Elizabeth City,27909,#76,760,14-21
Middlebury College,Middlebury,05753,#11,1410,33-35
Middle Georgia State University,Macon,31206,#105,910,15-23
Middle Tennessee State University,Murfreesboro,37132,#304,1020,19-26
Midland College,Midland,79705,Unranked,,N/A
Midland University,Fremont,68025,#147,905,19-23
Midway University,Midway,40347,#76,1010,19-26
Midwestern Baptist Theological Seminary,Kansas City,,Unranked,,N/A
Midwestern State University,Wichita Falls,76308,#52,910,17-23
Miles College,Birmingham,35208,#86,,N/A
Millersville University of Pennsylvania,Millersville,17551,#116,980,N/A
Milligan University,Milligan,37682,#15,1065,21-26
Millikin University,Decatur,62522,#15,930,20-27
Millsaps College,Jackson,39210,#124,1135,21-28
Milwaukee Institute of Art and Design,Milwaukee,53202,Unranked,,N/A
Milwaukee School of Engineering,Milwaukee,53202,#2,1170,25-31
Minneapolis College of Art and Design,Minneapolis,55404,Unranked,,N/A
Minnesota State University--Mankato,Mankato,56001,#67,,18-23
Minnesota State University--Moorhead,Moorhead,56563,#52,1040,19-25
Minot State University,Minot,58707,#120,992,17-23
MiraCosta College,Oceanside,92056,Unranked,,N/A
Misericordia University,Dallas,18612,#227,1000,22-23
Mississippi College,Clinton,39058,#369,,21-28
Mississippi State University,Mississippi State,39762,#216,1070,21-29
Mississippi University for Women,Columbus,39701,#27,,17-23
Mississippi Valley State University,Itta Bena,38941,#120,,13-18
Missouri Baptist University,St. Louis,63141,#149-164,870,17-29
Missouri Southern State University,Joplin,64801,#141,960,18-24
Missouri State University,Springfield,65897,#342,1010,20-26
Missouri University of Science and Technology,Rolla,65409,#185,1173,25-31
Missouri Valley College,Marshall,65340,#68-74,750,16-21
Missouri Western State University,St. Joseph,64507,#140,,16-22
Mitchell College,New London,06320,#35,,N/A
Modesto Junior College,Modesto,95350,Unranked,,N/A
Molloy University,Rockville Centre,11571,#50,1080,24-28
Monmouth College,Monmouth,61462,#129,1080,23-28
Monmouth University,West Long Branch,07764,#17,1110,22-30
Monroe College,Bronx,11468,#64,,N/A
Montana State University,Bozeman,59717,#303,1070,20-27
Montana State University--Billings,Billings,59101,#102,,17-22
Montana State University--Northern,Havre,59501,#18,,N/A
Montana Technological University,Butte,59701,#41,1050,18-24
Montclair State University,Montclair,07043,#163,950,N/A
Montreat College,Montreat,28757,#72,1030,21-28
Montserrat College of Art,Beverly,01915,#21,,N/A
Moody Bible Institute,Chicago,60610,Unranked,,N/A
Moore College of Art & Design,Philadelphia,19103,Unranked,,N/A
Moravian University,Bethlehem,18018,#39,1060,21-26
Morehead State University,Morehead,40351,#45,1000,18-25
Morehouse College,Atlanta,30314,#100,,18-25
Morgan State University,Baltimore,21251,#332,880,16-21
Morningside University,Sioux City,51106,#92,,N/A
Morris College,Sumter,29150,#79,,N/A
Mount Aloysius College,Cresson,16630,#27,,N/A
Mount Angel Seminary,St. Benedict,97373,Unranked,,N/A
Mount Carmel College of Nursing,Columbus,43222,Unranked,,N/A
Mount Holyoke College,South Hadley,01075,#34,1350,30-34
Mount Marty University,Yankton,57078,#117,,18-23
Mount Mary University,Milwaukee,53222,#47,990,17-23
Mount Mercy University,Cedar Rapids,52402,#56,,18-24
Mount Saint Mary's University,Los Angeles,90049,#11,,N/A
Mount St. Joseph University,Cincinnati,45233,#376,1068,21-27
Mount St. Mary College,Newburgh,12550,#96,1075,N/A
Mount St. Mary's University,Emmitsburg,21727,#69,1040,19-25
Mount Vernon Nazarene University,Mount Vernon,43050,#67,963,19-27
Muhlenberg College,Allentown,18104,#70,1200,29-33
Multnomah University,Portland,97220,#82,,N/A
Murray State University,Murray,42071,#31,980,19-26
Muskingum University,New Concord,43762,#46,950,17-22
Naropa University,Boulder,80302,#105-115,,N/A
National Louis University,Chicago,60603,#395-435,,N/A
National University,La Jolla,92037,#105-115,,N/A
National University College,Bayamon,,#123-135,,N/A
Navajo Technical University,Crownpoint,,Unranked,,N/A
Nazareth University,Rochester,14618,#54,1140,24-28
Nebraska Methodist College,Omaha,68114,Unranked,,N/A
Nebraska Wesleyan University,Lincoln,68504,#38,1010,22-27
Neumann University,Aston,19014,#123,930,N/A
Neumont College of Computer Science,,,Unranked,,N/A
Nevada State University,Henderson,89002,#35,,N/A
Newberry College,Newberry,29108,#10,928,16-23
New College of Florida,Sarasota,34243,#100,1103,24-31
New England College,Henniker,03242,#151-167,,N/A
New England Conservatory of Music,Boston,02115,Unranked,,N/A
New England Institute of Technology,East Greenwich,02818,Unranked,,N/A
New Jersey City University,Jersey City,07305,#143,890,N/A
New Jersey Institute of Technology,Newark,07102,#86,1190,27-33
Newman University,Wichita,67213,#124,,17-25
New Mexico Highlands University,Las Vegas,87701,#98,,N/A
New Mexico State University,Las Cruces,88003,#296,900,17-23
New Mexico Tech,Socorro,87801,#34,1110,21-28
New Orleans Baptist Theological Seminary,New Orleans,70126,Unranked,,N/A
The New School,New York,10011,#201,,N/A
NewSchool of Architecture and Design,San Diego,92101,#91,,N/A
New York Institute of Technology,Old Westbury,11568,#21,1118,24-31
New York School of Interior Design,New York,10021,Unranked,,N/A
New York University,New York,10012,#35,1470,33-35
Niagara University,Niagara University,14109,#30,1030,24-28
Nicholls State University,Thibodaux,70310,#69,945,19-24
Nichols College,Dudley,01571,#118,940,N/A
Nightingale College,,,Unranked,,N/A
Norfolk State University,Norfolk,23504,#55,840,15-20
North Carolina Agricultural and Technical State University,Greensboro,27411,#280,960,17-23
North Carolina Central University,Durham,27707,#26,810,15-23
North Carolina State University,Raleigh,27695,#60,1245,24-31
North Carolina Wesleyan University,Rocky Mount,27804,#47,860,15-21
North Central College,Naperville,60540,#24,1020,22-28
North Central University,Minneapolis,55404,#23,,N/A
North Dakota State University,Fargo,58108,#249,968,19-25
Northeastern Illinois University,Chicago,60625,#139,,12-22
Northeastern State University,Tahlequah,74464,#62,,17-23
Northeastern University,Boston,02115,#53,1440,33-35
Northern Arizona University,Flagstaff,86011,#249,1050,19-25
Northern Illinois University,DeKalb,60115,#269,,N/A
Northern Kentucky University,Highland Heights,41099,#382,1030,19-25
Northern Marianas College,Saipan,96950,#40,,N/A
Northern Michigan University,Marquette,49855,#60,,N/A
Northern New Mexico College,Espanola,87532,#32,,N/A
Northern State University,Aberdeen,57401,#88,800,18-24
North Florida College,Madison,32340,#13,,N/A
North Greenville University,Tigerville,29688,#36,1060,22-28
Northland College,Ashland,54806,#33,1010,20-27
North Park University,Chicago,60625,#30,890,20-26
North Seattle College,Seattle,98103,Unranked,,N/A
Northwestern College,Orange City,51041,#43,1030,20-25
Northwestern Health Sciences University,Bloomington,55431,Unranked,,N/A
Northwestern Michigan College,Traverse City,49686,Unranked,,N/A
Northwestern Oklahoma State University,Alva,73717,#86,830,16-22
Northwestern State University of Louisiana,Natchitoches,71497,#73,925,18-23
Northwestern University,Evanston,60208,#9,1490,33-35
Northwest Florida State College,Niceville,32578,Unranked,,N/A
Northwest Indian College,Bellingham,,Unranked,,N/A
Northwest Missouri State University,Maryville,64468,#76,938,18-24
Northwest Nazarene University,Nampa,83686,#50,1000,19-27
Northwest University,Kirkland,98033,#44,1050,22-30
Northwood University,Midland,48640,Unranked,,N/A
Norwich University,Northfield,05663,#90,1040,22-28
Notre Dame College of Ohio,Cleveland,44121,#53,890,16-22
Notre Dame of Maryland University,Baltimore,21210,#54,998,N/A
Nova Southeastern University,Ft. Lauderdale,33314,#227,1040,20-27
Nueta Hidatsa Sahnish College,New Town,,Unranked,,N/A
Oakland City University,Oakland City,47660,#304,895,17-23
Oakland University,Rochester,48309,#332,930,17-26
Oak Point University,Oak Brook,60622,Unranked,,N/A
Oakwood University,Huntsville,35896,#178,,N/A
Oberlin College and Conservatory,Oberlin,44074,#51,1360,30-33
Occidental College,Los Angeles,90041,#35,1360,31-34
Oglala Lakota College,Kyle,57752,Unranked,,N/A
Oglethorpe University,Atlanta,30319,#163,1065,22-29
Ohio Christian University,Circleville,43113,#148,,N/A
Ohio Dominican University,Columbus,43219,#95,883,16-24
Ohio Northern University,Ada,45810,#2,1075,21-28
The Ohio State University,Columbus,43210,#43,1310,29-32
Ohio University,Athens,45701,#178,1080,22-27
Ohio Wesleyan University,Delaware,43015,#116,1123,23-30
Oklahoma Baptist University,Shawnee,74804,#44,960,17-24
Oklahoma Christian University,Oklahoma City,73136,#56,1020,19-27
Oklahoma City University,Oklahoma City,73106,#280,1080,20-26
Oklahoma Panhandle State University,Goodwell,73939,#37,863,17-21
Oklahoma State University,Stillwater,74078,#185,1010,20-27
Oklahoma State University Institute of Technology--Okmulgee,Okmulgee,74447,Unranked,,N/A
Oklahoma State University--Oklahoma City,Oklahoma City,73107,Unranked,,N/A
Oklahoma Wesleyan University,Bartlesville,74006,#79,880,16-23
Old Dominion University,Norfolk,23529,#280,1090,22-27
Olivet Nazarene University,Bourbonnais,60914,#47,930,18-27
Olympic College,Bremerton,98337,Unranked,,N/A
Oral Roberts University,Tulsa,74171,#74,1020,19-26
